row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐhữu hình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐhữu hình khác,numeric__Tổng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,35.940.819.136,130.222.091.139,33.753.586.650,10.561.090.340,6.561.067.405.258,6.771.544.992.523,35940819136.0,130222091139.0,33753586650.0,10561090340.0,6561067405258.0,6771544992523.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,83.688.000,-,4.620.385.455,-,673.635.508.217,678.339.581.672,83688000.0,,4620385455.0,,673635508217.0,678339581672.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,12.616.021.758,-,-,-,35.295.470.105,47.911.491.863,12616021758.0,,,,35295470105.0,47911491863.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.411.673.476),(91.000.000),(4.442.521.817),(345.738.828),(190.835.273),(9.481.769.394),-4411673476.0,-91000000.0,-4442521817.0,-345738828.0,-190835273.0,-9481769394.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,-,(11.211.386.585),(11.211.386.585),,,,,-11211386585.0,-11211386585.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,44.228.855.418,130.131.091.139,33.931.450.288,10.215.351.512,7.258.596.161.722,7.477.102.910.079,44228855418.0,130131091139.0,33931450288.0,10215351512.0,7258596161722.0,7477102910079.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,18.741.576.160,28.918.287.645,14.868.853.613,6.996.114.167,1.070.471.767.287,1.139.996.598.872,18741576160.0,28918287645.0,14868853613.0,6996114167.0,1070471767287.0,1139996598872.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.641.214.896,8.703.428.270,3.081.702.228,774.869.723,227.262.146.855,241.463.361.972,1641214896.0,8703428270.0,3081702228.0,774869723.0,227262146855.0,241463361972.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.507.429.241),(91.000.000),(3.718.704.793),(345.738.828),-,(7.662.872.862),-3507429241.0,-91000000.0,-3718704793.0,-345738828.0,,-7662872862.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,-,-,-,(787.459.446),(787.459.446),,,,,-787459446.0,-787459446.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,16.875.361.815,37.530.715.915,14.231.851.048,7.425.245.062,1.296.946.454.696,1.373.009.628.536,16875361815.0,37530715915.0,14231851048.0,7425245062.0,1296946454696.0,1373009628536.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,17.199.242.976,101.303.803.494,18.884.733.037,3.564.976.173,5.490.595.637.971,5.631.548.393.651,17199242976.0,101303803494.0,18884733037.0,3564976173.0,5490595637971.0,5631548393651.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,27.353.493.603,92.600.375.224,19.699.599.240,2.790.106.450,5.961.649.707.026,6.104.093.281.543,27353493603.0,92600375224.0,19699599240.0,2790106450.0,5961649707026.0,6104093281543.0
