row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy tính,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tổng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,102.878.251,144.336.237.617,144.439.115.868,102878251.0,144336237617.0,144439115868.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,13.225.472.845,13.225.472.845,,13225472845.0,13225472845.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(102.878.251),-,(102.878.251),-102878251.0,,-102878251.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,-,157.561.710.462,157.561.710.462,,157561710462.0,157561710462.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,55.819.776,13.096.535.154,13.152.354.930,55819776.0,13096535154.0,13152354930.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.131.594,10.037.747.165,10.040.878.759,3131594.0,10037747165.0,10040878759.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(58.951.370),-,(58.951.370),-58951370.0,,-58951370.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,23.134.282.319,23.134.282.319,,23134282319.0,23134282319.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,47.058.475,131.239.702.463,131.286.760.938,47058475.0,131239702463.0,131286760938.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,-,134.427.428.143,134.427.428.143,,134427428143.0,134427428143.0
