row_label_raw,row_label_full,col_0,31/12/2020,31/12/2020_1,Trong năm,Trong năm_1,01/01/2020,01/01/2020_1,numeric__31/12/2020,numeric__31/12/2020_1,numeric__Trong năm,numeric__Trong năm_1,numeric__01/01/2020,numeric__01/01/2020_1
,,,Giá gốc,Số có khả năng trả nợ,Tăng,Giảm,Giá gốc,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,97.778.930.894,97.778.930.894,85.415.354.574,53.145.953.472,65.509.529.792,65.509.529.792,97778930894.0,97778930894.0,85415354574.0,53145953472.0,65509529792.0,65509529792.0
Ngân hàng ĐT và PT VN - CN Nam Hà Nội,Ngân hàng ĐT và PT VN - CN Nam Hà Nội,Ngân hàng ĐT và PT VN - CN Nam Hà Nội,-,-,-,305.423.000,305.423.000,305.423.000,,,,305423000.0,305423000.0,305423000.0
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,97.778.930.894,97.778.930.894,85.415.354.574,52.840.530.472,65.204.106.792,65.204.106.792,97778930894.0,97778930894.0,85415354574.0,52840530472.0,65204106792.0,65204106792.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,5.411.539.750.297,5.411.539.750.297,13.068.234.000,136.297.271.776,5.534.768.788.073,5.534.768.788.073,5411539750297.0,5411539750297.0,13068234000.0,136297271776.0,5534768788073.0,5534768788073.0
Ngân hàng ĐT và PT VN - CN Nam Định,Ngân hàng ĐT và PT VN - CN Nam Định,Ngân hàng ĐT và PT VN - CN Nam Định,1.888.491.843.169,1.888.491.843.169,-,38.230.608.776,1.926.722.451.945,1.926.722.451.945,1888491843169.0,1888491843169.0,,38230608776.0,1926722451945.0,1926722451945.0
Ngân hàng Phát triển VN - CN Nam Định,Ngân hàng Phát triển VN - CN Nam Định,Ngân hàng Phát triển VN - CN Nam Định,391.950.993.422,391.950.993.422,11.068.234.000,10.200.000.000,391.082.759.422,391.082.759.422,391950993422.0,391950993422.0,11068234000.0,10200000000.0,391082759422.0,391082759422.0
Ngân hàng TMCP Ngoại thương VN - CN Hà Nội,Ngân hàng TMCP Ngoại thương VN - CN Hà Nội,Ngân hàng TMCP Ngoại thương VN - CN Hà Nội,2.159.208.233.308,2.159.208.233.308,-,45.000.000.000,2.204.208.233.308,2.204.208.233.308,2159208233308.0,2159208233308.0,,45000000000.0,2204208233308.0,2204208233308.0
Ngân hàng ĐT và PT VN - CN SGD3,Ngân hàng ĐT và PT VN - CN SGD3,Ngân hàng ĐT và PT VN - CN SGD3,851.383.152.106,851.383.152.106,-,4.000.000.000,855.383.152.106,855.383.152.106,851383152106.0,851383152106.0,,4000000000.0,855383152106.0,855383152106.0
Ngân hàng TMCP Công thương VN - CN Hà Nội,Ngân hàng TMCP Công thương VN - CN Hà Nội,Ngân hàng TMCP Công thương VN - CN Hà Nội,118.872.191.292,118.872.191.292,-,6.500.000.000,125.372.191.292,125.372.191.292,118872191292.0,118872191292.0,,6500000000.0,125372191292.0,125372191292.0
Ngân hàng TMCP Xăng Dầu PETROLIMEX - CN Hà Nội,Ngân hàng TMCP Xăng Dầu PETROLIMEX - CN Hà Nội,Ngân hàng TMCP Xăng Dầu PETROLIMEX - CN Hà Nội,1.633.337.000,1.633.337.000,2.000.000.000,366.663.000,-,-,1633337000.0,1633337000.0,2000000000.0,366663000.0,,
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,-,-,-,32.000.000.000,32.000.000.000,32.000.000.000,,,,32000000000.0,32000000000.0,32000000000.0
