row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2020VND > 121.014.253.343,Năm 2019VND > 112.326.415.006,numeric__Năm 2020VND > 121.014.253.343,numeric__Năm 2019VND > 112.326.415.006
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,46.924.418.614,42.518.762.413,46924418614.0,42518762413.0
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,269.426.126,208.808.104,269426126.0,208808104.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,364.512.325,773.383.149,364512325.0,773383149.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,8.212.173.124,8.704.299.911,8212173124.0,8704299911.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",456.006.017,225.748.724,456006017.0,225748724.0
Chi phí dự phòng/Hoàn nhập dự phòng,Chi phí dự phòng/Hoàn nhập dự phòng,Chi phí dự phòng/Hoàn nhập dự phòng,21.996.367.326,10.306.109.853,21996367326.0,10306109853.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,25.989.944.375,33.042.521.576,25989944375.0,33042521576.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,16.801.405.436,16.546.781.276,16801405436.0,16546781276.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,28.257.825.444,15.021.305.630,28257825444.0,15021305630.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,9.481.332.614,5.094.620.201,9481332614.0,5094620201.0
"Chi phí nguyên vật liệu, bao bì","Chi phí nguyên vật liệu, bao bì","Chi phí nguyên vật liệu, bao bì",-,1.205.000,,1205000.0
"Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng",673.712.845,1.670.044.789,673712845.0,1670044789.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,321.598.831,-,321598831.0,
Chi phí bảo hành,Chi phí bảo hành,Chi phí bảo hành,-,-,,
Chi phí dịch vụ mua ngoài,Chi phí bảo hành > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,4.735.578.144,4.649.894.932,4735578144.0,4649894932.0
Chi phí khác bằng tiền,Chi phí bảo hành > Chi phí khác bằng tiền,Chi phí khác bằng tiền,13.045.603.010,3.605.540.708,13045603010.0,3605540708.0
Tổng,Chi phí bảo hành > Tổng,Tổng,149.272.078.787,127.347.720.636,149272078787.0,127347720636.0
