row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2020VND,Giá trị ghi số > 01/01/2020VND,numeric__Giá trị ghi số > 31/12/2020VND,numeric__Giá trị ghi số > 01/01/2020VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,219.322.711.611,146.076.986.910,219322711611.0,146076986910.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.016.949.801.479,1.852.685.826.652,1016949801479.0,1852685826652.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,32.625.979.000,33.810.385.712,32625979000.0,33810385712.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,46.920.000.000,61.403.931.812,46920000000.0,61403931812.0
Đầu tư dài hạn,Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,27.800.000.000,29.130.000.000,27800000000.0,29130000000.0
Tổng,Tài sản tài chính > Tổng,Tổng,1.343.618.492.090,2.123.107.131.086,1343618492090.0,2123107131086.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,5.509.318.681.191,5.600.278.317.865,5509318681191.0,5600278317865.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.405.010.812.928,1.885.398.607.463,1405010812928.0,1885398607463.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,95.037.607.286,112.764.730.938,95037607286.0,112764730938.0
Tổng,Công nợ tài chính > Tổng,Tổng,7.009.367.101.405,7.598.441.656.266,7009367101405.0,7598441656266.0
