row_label_raw,row_label_full,"Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ",Năm 2020VND > 1.252.469.286,Năm 2019VND > -,numeric__Năm 2020VND > 1.252.469.286,numeric__Năm 2019VND > -
Các khoản bị phạt hợp đồng,Các khoản bị phạt hợp đồng,Các khoản bị phạt hợp đồng,4.974.834.778,-,4974834778.0,
Các khoản chi phí khác,Các khoản chi phí khác,Các khoản chi phí khác,1.471.716.074,7.651.605.240,1471716074.0,7651605240.0
Tổng,Tổng,Tổng,7.699.020.138,7.651.605.240,7699020138.0,7651605240.0
