row_label_raw,row_label_full,31/12/2020,Dưới 1 nămVND,Từ 1-5 nămVND,CộngVND,numeric__Dưới 1 nămVND,numeric__Từ 1-5 nămVND,numeric__CộngVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,219.322.711.611,-,219.322.711.611,219322711611.0,,219322711611.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,893.965.518.130,122.984.283.349,1.016.949.801.479,893965518130.0,122984283349.0,1016949801479.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,32.625.979.000,-,32.625.979.000,32625979000.0,,32625979000.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,46.920.000.000,-,46.920.000.000,46920000000.0,,46920000000.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,27.800.000.000,27.800.000.000,,27800000000.0,27800000000.0
01/01/2020,01/01/2020,01/01/2020,Dưới 1 nămVND,Từ 1-5 nămVND,CộngVND,,,
Tiền và các khoản tương đương tiền,01/01/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,146.076.986.910,-,146.076.986.910,146076986910.0,,146076986910.0
Phải thu khách hàng và phải thu khác,01/01/2020 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.709.751.746.299,142.934.080.353,1.852.685.826.652,1709751746299.0,142934080353.0,1852685826652.0
Các khoản cho vay,01/01/2020 > Các khoản cho vay,Các khoản cho vay,33.810.385.712,-,33.810.385.712,33810385712.0,,33810385712.0
Đầu tư ngắn hạn,01/01/2020 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,61.403.931.812,-,61.403.931.812,61403931812.0,,61403931812.0
Đầu tư dài hạn,01/01/2020 > Đầu tư dài hạn,Đầu tư dài hạn,-,29.130.000.000,29.130.000.000,,29130000000.0,29130000000.0
