row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị,31/12/2020 > Dự phòng,01/01/2020 > Giá trị,01/01/2020 > Dự phòng,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Dự phòng,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,171.460.470.742,(5.400.421.625),145.009.796.925,-,171460470742.0,-5400421625.0,145009796925.0,
Tạm ứng,Tạm ứng,Tạm ứng,24.861.852.944,(3.286.973.157),36.612.238.114,-,24861852944.0,-3286973157.0,36612238114.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",41.054.170.000,-,119.470.000,-,41054170000.0,,119470000.0,
Phải thu khác,Phải thu khác,Phải thu khác,105.544.447.798,(2.113.448.468),108.278.088.811,-,105544447798.0,-2113448468.0,108278088811.0,
UBND quận,UBND quận,UBND quận,48.324.177.720,-,48.324.177.720,-,48324177720.0,,48324177720.0,
Nam Từ Liêm,Nam Từ Liêm,Nam Từ Liêm,,,,,,,,
Đối tượng khác,Nam Từ Liêm > Đối tượng khác,Đối tượng khác,57.220.270.078,(2.113.448.468),59.953.911.091,-,57220270078.0,-2113448468.0,59953911091.0,
Dài hạn,Nam Từ Liêm > Dài hạn,Dài hạn,126.134.283.349,(3.150.000.000),62.400.580.353,(3.150.000.000),126134283349.0,-3150000000.0,62400580353.0,-3150000000.0
"Ký cược, ký quỹ","Nam Từ Liêm > Ký cược, ký quỹ","Ký cược, ký quỹ",67.580.628.639,(3.150.000.000),3.846.925.643,(3.150.000.000),67580628639.0,-3150000000.0,3846925643.0,-3150000000.0
Phải thu khác,Nam Từ Liêm > Phải thu khác,Phải thu khác,58.553.654.710,-,58.553.654.710,-,58553654710.0,,58553654710.0,
