row_label_raw,row_label_full,TÀI SẢN,MS,TM,31/12/2020VND,01/01/2020VND,numeric__MS,numeric__TM,numeric__31/12/2020VND,numeric__01/01/2020VND
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,1.462.839.215.580,2.311.130.883.461,100.0,,1462839215580.0,2311130883461.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,219.322.711.611,146.076.986.910,110.0,51.0,219322711611.0,146076986910.0
1. Tiền,1. Tiền,1. Tiền,111,,198.909.108.118,115.602.160.741,111.0,,198909108118.0,115602160741.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,20.413.603.493,30.474.826.169,112.0,,20413603493.0,30474826169.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5.2,46.920.000.000,61.403.931.812,120.0,52.0,46920000000.0,61403931812.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,46.920.000.000,61.403.931.812,123.0,,46920000000.0,61403931812.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,975.469.626.587,1.851.735.542.157,130.0,,975469626587.0,1851735542157.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.3,731.919.464.938,1.596.666.648.884,131.0,53.0,731919464938.0,1596666648884.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.4,48.878.129.457,108.173.410.146,132.0,54.0,48878129457.0,108173410146.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,,32.625.979.000,33.810.385.712,135.0,,32625979000.0,33810385712.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.5,171.460.470.742,145.009.796.925,136.0,55.0,171460470742.0,145009796925.0
