row_label_raw,row_label_full,Chi tiết năm 2020,Lương & phụ cấp,Thù lao ( Tạm ứng),Tổng,numeric__Lương & phụ cấp,numeric__Thù lao ( Tạm ứng),numeric__Tổng
"HĐQT (Tên, Chức danh)","HĐQT (Tên, Chức danh)","HĐQT (Tên, Chức danh)","HĐQT (Tên, Chức danh)","HĐQT (Tên, Chức danh)","HĐQT (Tên, Chức danh)",,,
Phạm Quang Dũng - Chủ tịch HĐQT,"HĐQT (Tên, Chức danh) > Phạm Quang Dũng - Chủ tịch HĐQT",Phạm Quang Dũng - Chủ tịch HĐQT,0%,0%,0%,0.0,0.0,0.0
Nguyễn Viết Tân - Phó Chủ tịch HĐQT kiểm TGD,"HĐQT (Tên, Chức danh) > Nguyễn Viết Tân - Phó Chủ tịch HĐQT kiểm TGD",Nguyễn Viết Tân - Phó Chủ tịch HĐQT kiểm TGD,100%,0%,100%,1.0,0.0,1.0
Phạm Thị Chi - Thành viên HĐQT,"HĐQT (Tên, Chức danh) > Phạm Thị Chi - Thành viên HĐQT",Phạm Thị Chi - Thành viên HĐQT,100%,0%,100%,1.0,0.0,1.0
Đỗ Thanh Hương - Thành viên HĐQT,"HĐQT (Tên, Chức danh) > Đỗ Thanh Hương - Thành viên HĐQT",Đỗ Thanh Hương - Thành viên HĐQT,37%,63%,100%,0.37,0.63,1.0
Trần Hải Yến - Thành viên HĐQT,"HĐQT (Tên, Chức danh) > Trần Hải Yến - Thành viên HĐQT",Trần Hải Yến - Thành viên HĐQT,100%,0%,100%,1.0,0.0,1.0
"Ban TGD (Tên, Chức danh) và người quản lý","Ban TGD (Tên, Chức danh) và người quản lý","Ban TGD (Tên, Chức danh) và người quản lý","Ban TGD (Tên, Chức danh) và người quản lý","Ban TGD (Tên, Chức danh) và người quản lý","Ban TGD (Tên, Chức danh) và người quản lý",,,
Nguyễn Dĩnh Siêu - Phó TGD,"Ban TGD (Tên, Chức danh) và người quản lý > Nguyễn Dĩnh Siêu - Phó TGD",Nguyễn Dĩnh Siêu - Phó TGD,100%,0%,100%,1.0,0.0,1.0
Khuất Trung Thắng - Phó TGD,"Ban TGD (Tên, Chức danh) và người quản lý > Khuất Trung Thắng - Phó TGD",Khuất Trung Thắng - Phó TGD,100%,0%,100%,1.0,0.0,1.0
