row_label_raw,row_label_full,Khoản mục > Số dư tại ngày 01/01/2019 > Tăng trong năm trước > Tăng vốn trong năm trước > Lãi trong năm trước,Vốn góp của chủ sở hữu > 2.686.319.650.000 > -,Thặng dư vốn cổ phần > 84.988.051.186 > -,Quỹ đầu tư phát triển > 115.707.635.329 > 3.861.000.000 > -,Lợi ích cổ đông không kiểm soát > 4.114.497.498 > -,Lợi nhuận sau thuế chưa phân phối > 273.074.030.739 > 60.486.032.917 > - > 53.587.677.572,Đơn vị tính: VND > 3.164.203.864.752 > 64.347.032.917 > 3.861.000.000 > 53.587.677.572,numeric__Vốn góp của chủ sở hữu > 2.686.319.650.000 > -,numeric__Thặng dư vốn cổ phần > 84.988.051.186 > -,numeric__Quỹ đầu tư phát triển > 115.707.635.329 > 3.861.000.000 > -,numeric__Lợi ích cổ đông không kiểm soát > 4.114.497.498 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 273.074.030.739 > 60.486.032.917 > - > 53.587.677.572,numeric__Đơn vị tính: VND > 3.164.203.864.752 > 64.347.032.917 > 3.861.000.000 > 53.587.677.572
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,6.898.355.345,6.898.355.345,,,,,6898355345.0,6898355345.0
Giảm trong năm trước,Giảm trong năm trước,Giảm trong năm trước,-,(66.885.197),-,(8.925.459.503),(4.633.000.000),(13.625.344.700),,-66885197.0,,-8925459503.0,-4633000000.0,-13625344700.0
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,-,-,-,(8.925.459.503),,(8.925.459.503),,,,-8925459503.0,,-8925459503.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,(4.633.000.000),(4.633.000.000),,,,,-4633000000.0,-4633000000.0
Giảm khác,Giảm khác,Giảm khác,-,(66.885.197),-,-,-,(66.885.197),,-66885197.0,,,,-66885197.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,2.686.319.650.000,84.921.165.989,119.568.635.329,(4.810.962.005),328.927.063.655,3.214.925.552.968,2686319650000.0,84921165989.0,119568635329.0,-4810962005.0,328927063655.0,3214925552968.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,2.679.000.000,-,-,2.679.000.000,,,2679000000.0,,,2679000000.0
Tăng khác,Tăng khác,Tăng khác,-,-,2.679.000.000,-,-,2.679.000.000,,,2679000000.0,,,2679000000.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,(96.942.397),-,(8.381.136.308),(248.300.529.085),(256.778.607.790),,-96942397.0,,-8381136308.0,-248300529085.0,-256778607790.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,,(3.215.000.000),(3.215.000.000),,,,,-3215000000.0,-3215000000.0
Lỗ trong năm nay,Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,(8.381.136.308),(235.061.626.585),(243.442.762.893),,,,-8381136308.0,-235061626585.0,-243442762893.0
Giảm khác (*),Giảm khác (*),Giảm khác (*),-,(96.942.397),-,-,(10.023.902.500),(10.120.844.897),,-96942397.0,,,-10023902500.0,-10120844897.0
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,2.686.319.650.000,84.824.223.592,122.247.635.329,(13.192.098.313),80.626.534.571,2.960.825.945.179,2686319650000.0,84824223592.0,122247635329.0,-13192098313.0,80626534571.0,2960825945179.0
