row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị,31/12/2020 > Số có khả năng trả nợ,31/12/2020 > Giá trị_1,01/01/2020 > Số có khả năng trả nợ,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Số có khả năng trả nợ,numeric__31/12/2020 > Giá trị_1,numeric__01/01/2020 > Số có khả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,490.683.782.764,490.683.782.764,518.890.173.739,518.890.173.739,490683782764.0,490683782764.0,518890173739.0,518890173739.0
Công ty Cổ phần Xây dựng NASACO,Công ty Cổ phần Xây dựng NASACO,Công ty Cổ phần Xây dựng NASACO,10.053.744.101,10.053.744.101,10.623.356.771,10.623.356.771,10053744101.0,10053744101.0,10623356771.0,10623356771.0
Công ty Cổ phần Sông Hồng,Công ty Cổ phần Sông Hồng,Công ty Cổ phần Sông Hồng,3.436.616.001,3.436.616.001,17.465.589.000,17.465.589.000,3436616001.0,3436616001.0,17465589000.0,17465589000.0
Công ty Cổ phần xây dựng giao thông Yên Bái,Công ty Cổ phần xây dựng giao thông Yên Bái,Công ty Cổ phần xây dựng giao thông Yên Bái,23.644.942.000,23.644.942.000,24.625.755.821,24.625.755.821,23644942000.0,23644942000.0,24625755821.0,24625755821.0
Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,109.370.370.601,109.370.370.601,139.313.689.366,139.313.689.366,109370370601.0,109370370601.0,139313689366.0,139313689366.0
Công ty Cổ phần Đầu tư & xây dựng HUD3,Công ty Cổ phần Đầu tư & xây dựng HUD3,Công ty Cổ phần Đầu tư & xây dựng HUD3,5.770.030.799,5.770.030.799,5.850.006.218,5.850.006.218,5770030799.0,5770030799.0,5850006218.0,5850006218.0
Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,5.806.241.638,5.806.241.638,6.255.364.110,6.255.364.110,5806241638.0,5806241638.0,6255364110.0,6255364110.0
Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,-,-,3.055.942.821,3.055.942.821,,,3055942821.0,3055942821.0
Công ty Cổ phần công nghệ Tiên Phong,Công ty Cổ phần công nghệ Tiên Phong,Công ty Cổ phần công nghệ Tiên Phong,80.955.381.439,80.955.381.439,67.545.900.964,67.545.900.964,80955381439.0,80955381439.0,67545900964.0,67545900964.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,35.348.592.985,35.348.592.985,35.348.592.985,35.348.592.985,35348592985.0,35348592985.0,35348592985.0,35348592985.0
Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử Viễn Thông,Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử Viễn Thông,Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử Viễn Thông,40.126.047.638,40.126.047.638,14.148.416.446,14.148.416.446,40126047638.0,40126047638.0,14148416446.0,14148416446.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,176.171.815.562,176.171.815.562,194.657.559.237,194.657.559.237,176171815562.0,176171815562.0,194657559237.0,194657559237.0
Tổng,Tổng,Tổng,490.683.782.764,490.683.782.764,518.890.173.739,518.890.173.739,490683782764.0,490683782764.0,518890173739.0,518890173739.0
Phải trả người bán là các bên liên quan,Phải trả người bán là các bên liên quan,Phải trả người bán là các bên liên quan,109.775.333.206,109.775.333.206,139.931.657.971,139.931.657.971,109775333206.0,109775333206.0,139931657971.0,139931657971.0
