row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2018 VND,2017 VND,numeric__col_1,numeric__Thuyết minh,numeric__2018 VND,numeric__2017 VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,23,7.656.988.766.889,5.612.708.027.276,,23.0,7656988766889.0,5612708027276.0
2,2,2,Chi phí lãi và các chi phí tương tự,23,(4.221.019.182.442),(3.211.564.137.216),,23.0,-4221019182442.0,-3211564137216.0
I,I,I,Thu nhập lãi thuần,23,3.435.969.584.447,2.401.143.890.060,,23.0,3435969584447.0,2401143890060.0
3,3,3,Thu nhập từ hoạt động dịch vụ,24,388.091.382.049,237.514.566.746,,24.0,388091382049.0,237514566746.0
4,4,4,Chi phí hoạt động dịch vụ,24,(50.329.023.735),(41.894.604.573),,24.0,-50329023735.0,-41894604573.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,24,337.762.358.314,195.619.962.173,,24.0,337762358314.0,195619962173.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,25,83.519.035.834,46.999.721.794,,25.0,83519035834.0,46999721794.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,26,24.327.463.984,14.777.345.406,,26.0,24327463984.0,14777345406.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,27,939.235.020.184,48.694.519.051,,27.0,939235020184.0,48694519051.0
5,5,5,Thu nhập từ hoạt động khác,28,351.339.681.020,116.450.623.733,,28.0,351339681020.0,116450623733.0
6,6,6,Chi phí hoạt động khác,28,(156.445.921.279),(99.910.316.707),,28.0,-156445921279.0,-99910316707.0
VI,VI,VI,Lãi thuần từ hoạt động khác,28,194.893.759.741,16.540.307.026,,28.0,194893759741.0,16540307026.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",29,392.700.000,39.000.000,,29.0,392700000.0,39000000.0
VIII,VIII,VIII,Chi phí hoạt động,30,(1.869.767.287.781),(1.445.956.693.911),,30.0,-1869767287781.0,-1445956693911.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,3.146.332.634.723,1.277.858.051.599,,,3146332634723.0,1277858051599.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,31,(944.471.229.076),(256.023.763.150),,31.0,-944471229076.0,-256023763150.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,2.201.861.405.647,1.021.834.288.449,,,2201861405647.0,1021834288449.0
