row_label_raw,row_label_full,2018,Số dưđầu nămVND,Phát sinh trong năm > Số phải nộpVND,Phát sinh trong năm > Số đã nộpVND,Số ducuối nămVND,numeric__Số dưđầu nămVND,numeric__Phát sinh trong năm > Số phải nộpVND,numeric__Phát sinh trong năm > Số đã nộpVND,numeric__Số ducuối nămVND
Phải thu Ngân sách Nhà nước,Phải thu Ngân sách Nhà nước,Phải thu Ngân sách Nhà nước,Phải thu Ngân sách Nhà nước,Phải thu Ngân sách Nhà nước,Phải thu Ngân sách Nhà nước,Phải thu Ngân sách Nhà nước,,,,
Thuế thu nhập doanh nghiệp,Phải thu Ngân sách Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,42.794.748,42.794.748,,,42794748.0,42794748.0
Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,,,,
Thuế thu nhập doanh nghiệp,Phải trả Ngân sách Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,45.956.188.027,440.830.087.065,(431.931.364.831),54.854.910.261,45956188027.0,440830087065.0,-431931364831.0,54854910261.0
Thuế giá trị gia tăng,Phải trả Ngân sách Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.899.664.324,28.640.679.853,(25.339.590.617),6.200.753.560,2899664324.0,28640679853.0,-25339590617.0,6200753560.0
Thuế thu nhập cá nhân,Phải trả Ngân sách Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.461.586.045,65.672.010.720,(66.034.021.972),6.099.574.793,6461586045.0,65672010720.0,-66034021972.0,6099574793.0
Thuế nhà thầu,Phải trả Ngân sách Nhà nước > Thuế nhà thầu,Thuế nhà thầu,228.463.655,4.188.876.713,(3.561.428.271),855.912.097,228463655.0,4188876713.0,-3561428271.0,855912097.0
Thuế nhà đất,Phải trả Ngân sách Nhà nước > Thuế nhà đất,Thuế nhà đất,-,469.970.586,(469.970.586),-,,469970586.0,-469970586.0,
Các loại thuế khác,Phải trả Ngân sách Nhà nước > Các loại thuế khác,Các loại thuế khác,-,128.500.000,(128.500.000),-,,128500000.0,-128500000.0,
,,,55.545.902.051,539.930.124.937,(527.464.876.277),68.011.150.711,55545902051.0,539930124937.0,-527464876277.0,68011150711.0
2017,2017,2017,Số dưđầu nămVND,Phát sinh trong năm,Phát sinh trong năm,Số ducuối nămVND,,,,
2017,2017,2017,Số dưđầu nămVND,Số phải nộpVND,Số đã nộpVND,Số ducuối nămVND,,,,
Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,Phải trả Ngân sách Nhà nước,,,,
Thuế thu nhập doanh nghiệp,Phải trả Ngân sách Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,26.092.820.524,205.068.084.490,(185.204.716.987),45.956.188.027,26092820524.0,205068084490.0,-185204716987.0,45956188027.0
Thuế giá trị gia tăng,Phải trả Ngân sách Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.738.164.675,14.464.874.971,(13.303.375.322),2.899.664.324,1738164675.0,14464874971.0,-13303375322.0,2899664324.0
Thuế thu nhập cá nhân,Phải trả Ngân sách Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.079.572.185,38.646.455.274,(34.264.441.414),6.461.586.045,2079572185.0,38646455274.0,-34264441414.0,6461586045.0
Thuế nhà thầu,Phải trả Ngân sách Nhà nước > Thuế nhà thầu,Thuế nhà thầu,46.853.642,2.165.035.578,(1.983.425.565),228.463.655,46853642.0,2165035578.0,-1983425565.0,228463655.0
Thuế nhà đất,Phải trả Ngân sách Nhà nước > Thuế nhà đất,Thuế nhà đất,-,142.420.923,(142.420.923),-,,142420923.0,-142420923.0,
Các loại thuế khác,Phải trả Ngân sách Nhà nước > Các loại thuế khác,Các loại thuế khác,-,121.500.000,(121.500.000),-,,121500000.0,-121500000.0,
,,,29.957.411.026,260.608.371.236,(235.019.880.211),55.545.902.051,29957411026.0,260608371236.0,-235019880211.0,55545902051.0
