row_label_raw,row_label_full,2017,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận chuyểnVND,Tài sảncó định khácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Tài sảncó định khácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,183.332.708.574,134.412.432.563,104.567.941.028,1.425.127.387,423.738.209.552,183332708574.0,134412432563.0,104567941028.0,1425127387.0,423738209552.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,42.477.364.180,17.349.098.049,7.724.715.700,-,67.551.177.929,42477364180.0,17349098049.0,7724715700.0,,67551177929.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,2.932.233.182,21.691.025.441,1.960.180.200,-,26.583.438.823,2932233182.0,21691025441.0,1960180200.0,,26583438823.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(1.363.895.282),(1.163.457.408),(7.675.364.471),-,(10.202.717.161),-1363895282.0,-1163457408.0,-7675364471.0,,-10202717161.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,227.378.410.654,172.289.098.645,106.577.472.457,1.425.127.387,507.670.109.143,227378410654.0,172289098645.0,106577472457.0,1425127387.0,507670109143.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,60.747.256.538,90.079.060.725,74.266.996.580,1.299.693.661,226.393.007.504,60747256538.0,90079060725.0,74266996580.0,1299693661.0,226393007504.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.854.667.628,15.526.390.354,7.182.961.418,91.517.856,30.655.537.256,7854667628.0,15526390354.0,7182961418.0,91517856.0,30655537256.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(1.315.045.732),(1.096.467.408),(6.470.764.670),-,(8.882.277.810),-1315045732.0,-1096467408.0,-6470764670.0,,-8882277810.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,67.286.878.434,104.508.983.671,74.979.193.328,1.391.211.517,248.166.266.950,67286878434.0,104508983671.0,74979193328.0,1391211517.0,248166266950.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,122.585.452.036,44.333.371.838,30.300.944.448,125.433.726,197.345.202.048,122585452036.0,44333371838.0,30300944448.0,125433726.0,197345202048.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,160.091.532.220,67.780.114.974,31.598.279.129,33.915.870,259.503.842.193,160091532220.0,67780114974.0,31598279129.0,33915870.0,259503842193.0
