row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Quá hạn > Quá hạn trên 3 tháng VND,Quá hạn > Quá hạn đến 3 tháng VND,Quá hạn > Đến 1 tháng VND,Trong hạn > Từ trên 1 đến 3 tháng VND,Trong hạn > Từ trên 3 đến 12 tháng VND,Trong hạn > Từ trên 1 đến 5 năm VND,Trong hạn > Trên 5 năm VND,Trong hạn > Tổng VND,numeric__Quá hạn > Quá hạn trên 3 tháng VND,numeric__Quá hạn > Quá hạn đến 3 tháng VND,numeric__Quá hạn > Đến 1 tháng VND,numeric__Trong hạn > Từ trên 1 đến 3 tháng VND,numeric__Trong hạn > Từ trên 3 đến 12 tháng VND,numeric__Trong hạn > Từ trên 1 đến 5 năm VND,numeric__Trong hạn > Trên 5 năm VND,numeric__Trong hạn > Tổng VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,680.259.127.502,-,-,-,-,680.259.127.502,,,680259127502.0,,,,,680259127502.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,1.275.368.798.168,-,-,-,-,1.275.368.798.168,,,1275368798168.0,,,,,1275368798168.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,9.548.277.018.639,3.289.900.000.000,609.469.580.740,-,-,13.447.646.599.379,,,9548277018639.0,3289900000000.0,609469580740.0,,,13447646599379.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,(13.382.654.054),32.016.449.963,43.387.276.252,-,-,62.021.072.161,,,-13382654054.0,32016449963.0,43387276252.0,,,62021072161.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),1.288.327.187.511,865.159.943.794,5.482.766.212.309,3.626.462.305.022,11.878.285.139.463,14.572.865.256.460,18.602.485.469.379,56.316.351.513.938,1288327187511.0,865159943794.0,5482766212309.0,3626462305022.0,11878285139463.0,14572865256460.0,18602485469379.0,56316351513938.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,-,501.702.099.620,874.854.920.737,16.072.856.770.929,6.994.609.939.233,24.444.023.730.519,,,,501702099620.0,874854920737.0,16072856770929.0,6994609939233.0,24444023730519.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,24.540.000.000,24.540.000.000,,,,,,,24540000000.0,24540000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,529.287.598.940,529.287.598.940,,,,,,,529287598940.0,529287598940.0
Tài sản cố khác – gộp,Tài sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,4.800.000.000,-,104.535.061.421,242.337.398.718,444.217.067.552,2.829.116.067.189,195.663.221.547,3.820.668.816.427,4800000000.0,,104535061421.0,242337398718.0,444217067552.0,2829116067189.0,195663221547.0,3820668816427.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),1.293.127.187.511,865.159.943.794,17.077.823.563.985,7.692.418.253.323,13.850.213.984.744,33.474.838.094.578,26.346.586.229.099,100.600.167.257.034,1293127187511.0,865159943794.0,17077823563985.0,7692418253323.0,13850213984744.0,33474838094578.0,26346586229099.0,100600167257034.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,1.232.652.713.665,18.255.045.975,218.462.084.535,-,-,1.469.369.844.175,,,1232652713665.0,18255045975.0,218462084535.0,,,1469369844175.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,14.646.389.104.490,1.830.301.328.076,82.429.549.380,195.439.995.400,1.419.998.796,16.755.979.976.142,,,14646389104490.0,1830301328076.0,82429549380.0,195439995400.0,1419998796.0,16755979976142.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,25.914.735.880.247,10.598.911.069.039,22.026.630.204.808,1.821.605.872.906,691.980.000,60.362.575.007.000,,,25914735880247.0,10598911069039.0,22026630204808.0,1821605872906.0,691980000.0,60362575007000.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,370.880.000.000,251.142.150.000,929.645.090.000,883.216.289.507,119.203.153.704,2.554.086.683.211,,,370880000000.0,251142150000.0,929645090000.0,883216289507.0,119203153704.0,2554086683211.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,46.391.640.000,152.786.221.145,2.844.302.521.974,5.112.920.515.601,-,8.156.400.898.720,,,46391640000.0,152786221145.0,2844302521974.0,5112920515601.0,,8156400898720.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,328.276.536.076,294.497.006.052,994.194.460.052,251.375.177.522,114.010.430,1.868.457.190.132,,,328276536076.0,294497006052.0,994194460052.0,251375177522.0,114010430.0,1868457190132.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,42.539.325.874.478,13.145.892.820.287,27.095.663.910.749,8.264.557.850.936,121.429.142.930,91.166.869.599.380,,,42539325874478.0,13145892820287.0,27095663910749.0,8264557850936.0,121429142930.0,91166869599380.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],1.293.127.187.511,865.159.943.794,(25.461.502.310.493),(5.453.474.566.964),(13.245.449.926.005),25.210.280.243.642,26.225.157.086.169,9.433.297.657.654,1293127187511.0,865159943794.0,-25461502310493.0,-5453474566964.0,-13245449926005.0,25210280243642.0,26225157086169.0,9433297657654.0
