row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2018,Quá hạnVND,Khôngchịu lãiVND,Dưới1 thángVND,Từ 1 đến3 thángVND,Từ trên 3 đến6 thángVND,Từ trên 6 đến12 thángVND,Từ trên 1 đến5 nămVND,Trên 5 nămVND,TổngVND,numeric__Quá hạnVND,numeric__Khôngchịu lãiVND,numeric__Dưới1 thángVND,numeric__Từ 1 đến3 thángVND,numeric__Từ trên 3 đến6 thángVND,numeric__Từ trên 6 đến12 thángVND,numeric__Từ trên 1 đến5 nămVND,numeric__Trên 5 nămVND,numeric__TổngVND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,680.259.127.502,-,-,-,-,-,-,680.259.127.502,,680259127502.0,,,,,,,680259127502.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,1.275.368.798.168,-,-,-,-,-,1.275.368.798.168,,,1275368798168.0,,,,,,1275368798168.0
Tiền gửi và cho vay các tổchúc tín dụng khác – góp,Tài sản > Tiền gửi và cho vay các tổchúc tín dụng khác – góp,Tiền gửi và cho vay các tổchúc tín dụng khác – góp,-,-,9.548.277.018.639,3.289.900.000.000,377.675.653.900,231.793.926.840,-,-,13.447.646.599.379,,,9548277018639.0,3289900000000.0,377675653900.0,231793926840.0,,,13447646599379.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,62.021.072.161,-,-,-,-,-,-,62.021.072.161,,62021072161.0,,,,,,,62021072161.0
Cho vay khách hàng – góp (*),Tài sản > Cho vay khách hàng – góp (*),Cho vay khách hàng – góp (*),2.153.487.131.305,-,11.631.983.012.763,19.294.657.278.997,16.555.483.615.345,3.757.271.931.181,2.923.468.544.347,-,56.316.351.513.938,2153487131305.0,,11631983012763.0,19294657278997.0,16555483615345.0,3757271931181.0,2923468544347.0,,56316351513938.0
Chứng khoán đầu tư – góp,Tài sản > Chứng khoán đầu tư – góp,Chứng khoán đầu tư – góp,-,622.566.930.519,600.000.000.000,500.000.000.000,1.395.000.000.000,688.260.000.000,14.409.530.200.000,6.228.666.600.000,24.444.023.730.519,,622566930519.0,600000000000.0,500000000000.0,1395000000000.0,688260000000.0,14409530200000.0,6228666600000.0,24444023730519.0
"Góp vốn, đầu tư dài hạn – góp","Tài sản > Góp vốn, đầu tư dài hạn – góp","Góp vốn, đầu tư dài hạn – góp",-,24.540.000.000,-,-,-,-,-,-,24.540.000.000,,24540000000.0,,,,,,,24540000000.0
Tài sản có định,Tài sản > Tài sản có định,Tài sản có định,-,529.287.598.940,-,-,-,-,-,-,529.287.598.940,,529287598940.0,,,,,,,529287598940.0
Tài sản có khác – góp,Tài sản > Tài sản có khác – góp,Tài sản có khác – góp,4.800.000.000,3.815.868.816.427,-,-,-,-,-,-,3.820.668.816.427,4800000000.0,3815868816427.0,,,,,,,3820668816427.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.158.287.131.305,5.734.543.545.549,23.055.628.829.570,23.084.557.278.997,18.328.159.269.245,4.677.325.858.021,17.332.998.744.347,6.228.666.600.000,100.600.167.257.034,2158287131305.0,5734543545549.0,23055628829570.0,23084557278997.0,18328159269245.0,4677325858021.0,17332998744347.0,6228666600000.0,100600167257034.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,1.232.652.713.665,18.255.045.975,79.590.958.264,138.871.126.271,-,-,1.469.369.844.175,,,1232652713665.0,18255045975.0,79590958264.0,138871126271.0,,,1469369844175.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,14.646.389.104.487,1.830.301.328.076,82.429.549.380,-,195.439.995.403,1.419.998.796,16.755.979.976.142,,,14646389104487.0,1830301328076.0,82429549380.0,,195439995403.0,1419998796.0,16755979976142.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,25.528.627.871.066,10.950.901.695.397,13.494.955.843.775,8.601.269.789.052,1.786.127.827.710,691.980.000,60.362.575.007.000,,,25528627871066.0,10950901695397.0,13494955843775.0,8601269789052.0,1786127827710.0,691980000.0,60362575007000.0
"Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro",-,-,370.880.000.000,251.142.150.000,927.734.040.000,1.911.050.000,883.216.289.507,119.203.153.704,2.554.086.683.211,,,370880000000.0,251142150000.0,927734040000.0,1911050000.0,883216289507.0,119203153704.0,2554086683211.0
Phát hành giầy tờ có giá,Nợ phải trả > Phát hành giầy tờ có giá,Phát hành giầy tờ có giá,-,-,46.391.640.000,152.786.221.145,1.188.308.037.772,2.055.994.484.202,4.712.920.515.601,-,8.156.400.898.720,,,46391640000.0,152786221145.0,1188308037772.0,2055994484202.0,4712920515601.0,,8156400898720.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,1.868.457.190.132,-,-,-,-,-,-,1.868.457.190.132,,1868457190132.0,,,,,,,1868457190132.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,1.868.457.190.132,41.824.941.329.218,13.203.386.440.593,15.773.018.429.191,10.798.046.449.525,7.577.704.628.221,121.315.132.500,91.166.869.599.380,,1868457190132.0,41824941329218.0,13203386440593.0,15773018429191.0,10798046449525.0,7577704628221.0,121315132500.0,91166869599380.0
