row_label_raw,row_label_full,Khu vực Miền Bắc VND,Khu vực Miền Trung VND,Khu vực Miền Nam VND,Loại trừ VND,Tổng VND,numeric__Khu vực Miền Trung VND,numeric__Khu vực Miền Nam VND,numeric__Loại trừ VND,numeric__Tổng VND
1.162.530.995.637,1.162.530.995.637,1.162.530.995.637,1.187.500.215.704,9.764.236.193.890,(6.501.559.377.955),5.612.708.027.276,1187500215704.0,9764236193890.0,-6501559377955.0,5612708027276.0
754.849.370.744,754.849.370.744,754.849.370.744,861.484.520.766,3.996.374.135.766,-,5.612.708.027.276,861484520766.0,3996374135766.0,,5612708027276.0
407.681.624.893,407.681.624.893,407.681.624.893,326.015.694.938,5.767.862.058.124,(6.501.559.377.955),-,326015694938.0,5767862058124.0,-6501559377955.0,
18.886.922.880,18.886.922.880,18.886.922.880,24.871.094.409,196.513.760.598,(2.757.211.141),237.514.566.746,24871094409.0,196513760598.0,-2757211141.0,237514566746.0
12.196.365.134,12.196.365.134,12.196.365.134,11.416.807.313,581.339.389.922,(17.973.779.246),586.978.783.123,11416807313.0,581339389922.0,-17973779246.0,586978783123.0
(873.998.935.075),(873.998.935.075),(873.998.935.075),(895.048.143.075),(7.944.076.437.021),6.501.559.377.955,(3.211.564.137.216),-895048143075.0,-7944076437021.0,6501559377955.0,-3211564137216.0
(315.836.891.740),(315.836.891.740),(315.836.891.740),(265.025.400.832),(2.630.701.844.644),-,(3.211.564.137.216),-265025400832.0,-2630701844644.0,,-3211564137216.0
(558.162.043.335),(558.162.043.335),(558.162.043.335),(630.022.742.243),(5.313.374.592.377),6.501.559.377.955,-,-630022742243.0,-5313374592377.0,6501559377955.0,
(1.616.887.524),(1.616.887.524),(1.616.887.524),(3.437.003.297),(43.289.679.348),-,(48.343.570.169),-3437003297.0,-43289679348.0,,-48343570169.0
(140.266.503.620),(140.266.503.620),(140.266.503.620),(135.761.252.930),(1.644.138.851.998),20.730.990.387,(1.899.435.618.161),-135761252930.0,-1644138851998.0,20730990387.0,-1899435618161.0
177.731.957.432,177.731.957.432,177.731.957.432,189.541.718.124,910.584.376.043,-,1.277.858.051.599,189541718124.0,910584376043.0,,1277858051599.0
(16.177.154.520),(16.177.154.520),(16.177.154.520),(18.637.230.868),(221.209.377.762),-,(256.023.763.150),-18637230868.0,-221209377762.0,,-256023763150.0
161.554.802.912,161.554.802.912,161.554.802.912,170.904.487.256,689.374.998.281,-,1.021.834.288.449,170904487256.0,689374998281.0,,1021834288449.0
