row_label_raw,row_label_full,col_0,2018VND,2017VND,col_3,numeric__2018VND,numeric__2017VND,numeric__col_3
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.201.861.405.647,1.021.834.288.449,,2201861405647.0,1021834288449.0,
Thuế tính theo thuế suất áp dụng cho Ngân hàng và công ty conĐiều chỉnh cho ảnh hưởng thuế của:Thu nhập không chịu thuếChi phí không được khấu trừ thuếThu nhập chịu thuế khácĐiều chỉnh thuế TNDN của năm trước,Thuế tính theo thuế suất áp dụng cho Ngân hàng và công ty conĐiều chỉnh cho ảnh hưởng thuế của:Thu nhập không chịu thuếChi phí không được khấu trừ thuếThu nhập chịu thuế khácĐiều chỉnh thuế TNDN của năm trước,Thuế tính theo thuế suất áp dụng cho Ngân hàng và công ty conĐiều chỉnh cho ảnh hưởng thuế của:Thu nhập không chịu thuếChi phí không được khấu trừ thuếThu nhập chịu thuế khácĐiều chỉnh thuế TNDN của năm trước,440.372.281.129,204.366.857.690(81.883.367)515.442.394-24.246.909,(7.800.000)414.599.44781.400.801213.026.552,440372281129.0,,
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,440.830.087.065,205.068.084.490,,440830087065.0,205068084490.0,
