row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2017,Quá hạnVND,Không chịu lãiVND,Dưới1 thángVND,Từ 1 đến3 thángVND,Từ trên 3 đến6 thángVND,Từ trên 6 đến12 thángVND,Từ trên 1 đến5 nămVND,Trên 5 nămVND,TổngVND,numeric__Quá hạnVND,numeric__Không chịu lãiVND,numeric__Dưới1 thángVND,numeric__Từ 1 đến3 thángVND,numeric__Từ trên 3 đến6 thángVND,numeric__Từ trên 6 đến12 thángVND,numeric__Từ trên 1 đến5 nămVND,numeric__Trên 5 nămVND,numeric__TổngVND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,648.859.156.969,-,-,-,-,-,-,648.859.156.969,,648859156969.0,,,,,,,648859156969.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.106.795.746.709,-,-,-,-,-,3.106.795.746.709,,,3106795746709.0,,,,,,3106795746709.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,6.567.616.121.138,3.813.699.500.000,-,-,-,-,10.381.315.621.138,,,6567616121138.0,3813699500000.0,,,,,10381315621138.0
Chủng khoán kinh doanh – gộp,Tài sản > Chủng khoán kinh doanh – gộp,Chủng khoán kinh doanh – gộp,-,-,-,-,-,-,531.580.500.000,2.757.012.700.000,3.288.593.200.000,,,,,,,531580500000.0,2757012700000.0,3288593200000.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,34.459.675.710,-,-,-,-,-,-,34.459.675.710,,34459675710.0,,,,,,,34459675710.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),1.450.909.396.425,-,9.239.737.745.256,18.449.641.878.917,14.253.158.457.755,3.036.571.960.048,1.752.957.245.424,-,48.182.976.683.825,1450909396425.0,,9239737745256.0,18449641878917.0,14253158457755.0,3036571960048.0,1752957245424.0,,48182976683825.0
Chủng khoán đầu tư – gộp,Tài sản > Chủng khoán đầu tư – gộp,Chủng khoán đầu tư – gộp,-,970.194.921.995,170.000.000.000,31.390.000.000,110.000.000.000,1.170.000.000.000,7.854.530.200.000,6.514.666.600.000,16.820.781.721.995,,970194921995.0,170000000000.0,31390000000.0,110000000000.0,1170000000000.0,7854530200000.0,6514666600000.0,16820781721995.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,36.430.000.000,-,-,-,-,-,-,36.430.000.000,,36430000000.0,,,,,,,36430000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,527.005.924.816,-,-,-,-,-,-,527.005.924.816,,527005924816.0,,,,,,,527005924816.0
