row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và quyền biểu quyết,Tỷ lệ sở hữu và quyền biểu quyết_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu và quyền biểu quyết,numeric__Tỷ lệ sở hữu và quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,31/12/2018,31/12/2017,,,,
Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông,Tên công ty > Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông,Số 0314327542 ngày 3 tháng 4 năm 2017,"Dịch vụ nhận và chỉ, trả ngoại tệ",100%,100%,,,1.0,1.0
