row_label_raw,row_label_full,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng_1,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tiền gửi tại Ngân hàng_1,numeric__Tỷ lệ dự trữ bắt buộc,numeric__Tỷ lệ dự trữ bắt buộc_1
Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,31/12/2018,31/12/2017,,,
Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,,,
Khách hàng:,Khách hàng:,Khách hàng:,Khách hàng:,Khách hàng:,Khách hàng:,,,
▪ Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,Khách hàng: > ▪ Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,8%,8%,,0.08,0.08
▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,Khách hàng: > ▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,6%,6%,,0.06,0.06
▪ Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,Khách hàng: > ▪ Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,3%,3%,,0.03,0.03
▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,Khách hàng: > ▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,1%,1%,,0.01,0.01
Tổ chức tín dụng ở nước ngoài:,Tổ chức tín dụng ở nước ngoài:,Tổ chức tín dụng ở nước ngoài:,Tổ chức tín dụng ở nước ngoài:,Tổ chức tín dụng ở nước ngoài:,Tổ chức tín dụng ở nước ngoài:,,,
▪ Tiền gửi bằng ngoại tệ,Tổ chức tín dụng ở nước ngoài: > ▪ Tiền gửi bằng ngoại tệ,▪ Tiền gửi bằng ngoại tệ,▪ Tiền gửi bằng ngoại tệ,1%,1%,,0.01,0.01
,,,31/12/2018VND,31/12/2017VND,31/12/2017VND,,,
Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,,,
▪ Bằng VND,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc > ▪ Bằng VND,▪ Bằng VND,1.148.495.695.389,2.864.950.248.529,2.864.950.248.529,1148495695389.0,2864950248529.0,2864950248529.0
▪ Bằng USD,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc > ▪ Bằng USD,▪ Bằng USD,126.873.102.779,241.845.498.180,241.845.498.180,126873102779.0,241845498180.0,241845498180.0
,,,1.275.368.798.168,3.106.795.746.709,3.106.795.746.709,1275368798168.0,3106795746709.0,3106795746709.0
