row_label_raw,row_label_full,22. Vốn chủ sở hữu,22. Vốn chủ sở hữu_1,22. Vốn chủ sở hữu_2,22. Vốn chủ sở hữu_3,22. Vốn chủ sở hữu_4,22. Vốn chủ sở hữu_5,22. Vốn chủ sở hữu_6,numeric__22. Vốn chủ sở hữu_1,numeric__22. Vốn chủ sở hữu_2,numeric__22. Vốn chủ sở hữu_3,numeric__22. Vốn chủ sở hữu_4,numeric__22. Vốn chủ sở hữu_5,numeric__22. Vốn chủ sở hữu_6
22.1 Báo cáo thay đổi vốn chủ sở hữu,22.1 Báo cáo thay đổi vốn chủ sở hữu,22.1 Báo cáo thay đổi vốn chủ sở hữu,22.1 Báo cáo thay đổi vốn chủ sở hữu,22.1 Báo cáo thay đổi vốn chủ sở hữu,22.1 Báo cáo thay đổi vốn chủ sở hữu,22.1 Báo cáo thay đổi vốn chủ sở hữu,22.1 Báo cáo thay đổi vốn chủ sở hữu,22.1 Báo cáo thay đổi vốn chủ sở hữu,,,,,,
,,,Vốn điều lệ VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Các quỹ VND,Lợi nhuận chưa phân phối VND,Tổng VND,,,,,,
Số dư tại ngày 1 tháng 1 năm 2017,22.1 Báo cáo thay đổi vốn chủ sở hữu > Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,4.000.000.000.000,98.800.000.000,(90.250.000.000),302.019.790.303,405.108.160.471,4.715.677.950.774,4000000000000.0,98800000000.0,-90250000000.0,302019790303.0,405108160471.0,4715677950774.0
Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,22.1 Báo cáo thay đổi vốn chủ sở hữu > Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,805.120.500.000,-,-,-,-,805.120.500.000,805120500000.0,,,,,805120500000.0
Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,22.1 Báo cáo thay đổi vốn chủ sở hữu > Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,194.879.500.000,-,-,-,(194.879.500.000),-,194879500000.0,,,,-194879500000.0,
Lợi nhuận thuần trong năm,22.1 Báo cáo thay đổi vốn chủ sở hữu > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,816.766.203.959,816.766.203.959,,,,,816766203959.0,816766203959.0
Trích lập các quỹ,22.1 Báo cáo thay đổi vốn chủ sở hữu > Trích lập các quỹ,Trích lập các quỹ,-,-,-,122.116.597.503,(122.116.597.503),-,,,,122116597503.0,-122116597503.0,
Trích lập quỹ khen thưởng và phúc lợi,22.1 Báo cáo thay đổi vốn chủ sở hữu > Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,(3.288.782.743),(3.288.782.743),,,,,-3288782743.0,-3288782743.0
Cổ tức,22.1 Báo cáo thay đổi vốn chủ sở hữu > Cổ tức,Cổ tức,-,-,-,-,(194.879.500.000),(194.879.500.000),,,,,-194879500000.0,-194879500000.0
Số dư tại ngày 1 tháng 1 năm 2018,22.1 Báo cáo thay đổi vốn chủ sở hữu > Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,5.000.000.000.000,98.800.000.000,(90.250.000.000),424.136.387.806,706.709.984.184,6.139.396.371.990,5000000000000.0,98800000000.0,-90250000000.0,424136387806.0,706709984184.0,6139396371990.0
Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,22.1 Báo cáo thay đổi vốn chủ sở hữu > Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,903.752.850.000,-,-,-,-,903.752.850.000,903752850000.0,,,,,903752850000.0
Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,22.1 Báo cáo thay đổi vốn chủ sở hữu > Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,695.457.780.000,-,-,-,(695.457.780.000),-,695457780000.0,,,,-695457780000.0,
Lợi nhuận thuần trong năm,22.1 Báo cáo thay đổi vốn chủ sở hữu > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.761.031.318.582,1.761.031.318.582,,,,,1761031318582.0,1761031318582.0
Trích lập các quỹ,22.1 Báo cáo thay đổi vốn chủ sở hữu > Trích lập các quỹ,Trích lập các quỹ,-,-,-,264.305.231.415,(264.305.231.415),-,,,,264305231415.0,-264305231415.0,
Trích lập quỹ khen thưởng và phúc lợi,22.1 Báo cáo thay đổi vốn chủ sở hữu > Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,(6.942.512.734),(6.942.512.734),,,,,-6942512734.0,-6942512734.0
Số dư tại ngày 31 tháng 12 năm 2018,22.1 Báo cáo thay đổi vốn chủ sở hữu > Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,6.599.210.630.000,98.800.000.000,(90.250.000.000),688.441.619.221,1.501.035.778.617,8.797.238.027.838,6599210630000.0,98800000000.0,-90250000000.0,688441619221.0,1501035778617.0,8797238027838.0
