row_label_raw,row_label_full,col_0,VND,numeric__VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,344.408.889.629,344408889629.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,34.119.861.285,34119861285.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,(97.308.006.038),-97308006038.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,281.220.744.876,281220744876.0
HAO MÒN,HAO MÒN,HAO MÒN,HAO MÒN,
Số dư đầu năm,HAO MÒN > Số dư đầu năm,Số dư đầu năm,18.391.166.449,18391166449.0
Phân bố trong năm,HAO MÒN > Phân bố trong năm,Phân bố trong năm,36.900.163.155,36900163155.0
Số dư cuối năm,HAO MÒN > Số dư cuối năm,Số dư cuối năm,55.291.329.604,55291329604.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,326.017.723.180,326017723180.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,225.929.415.272,225929415272.0
