row_label_raw,row_label_full,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ phân sở hữu và quyền biểu quyết nằm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phân sở hữu và quyền biểu quyết nằm giữ,numeric__Hoạt động chính
Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,"Số 261 - 263 Khánh Hội, Phường 5, Quân 4, Thành phố Hồ Chí Minh","46,53%","Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông; đại lý dịch vụ viễn thông",,0.4653,
Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,"Tòa nhà FPT Câu Giấy, Phố Duy Tân, Câu Giấy, Hà Nội",48%,"Sản xuất các sản phẩm công nghệ và phân phối các linh kiện CNTT và điện thoại di động, chế tạo máy tính",,0.48,
Công ty Cố phân Chứng khoán FPT,Công ty Cố phân Chứng khoán FPT,Công ty Cố phân Chứng khoán FPT,"Số 52 Đường Lạc Long Quân, Phường Bưới, Quận Tây Hồ, Thành phố Hà Nội",20%,"Các hoạt động môi giới chứng khoán, tự doanh chứng khoán, tư vấn đầu tư chứng khoán và dịch vụ lưu ký chứng khoán",,0.2,
Công ty Cố phân Quản lý Quỹ Đầu tư FPT,Công ty Cố phân Quản lý Quỹ Đầu tư FPT,Công ty Cố phân Quản lý Quỹ Đầu tư FPT,"Tăng 9, Tòa nhà TTC Lô B1A, Phường Dịch Vọng Hậu, Câu Giấy, Hà Nội",25%,"Quản lý quỹ đầu tư, quản lý danh mục đầu tư và các dịch vụ khác",,0.25,
