row_label_raw,row_label_full,col_0,Dự phòng bảo hành sản phẩm dài hạn,Bảo lãnh cho các khoản cho sinh viên vay dài hạn,Tổng cộng,numeric__Dự phòng bảo hành sản phẩm dài hạn,numeric__Bảo lãnh cho các khoản cho sinh viên vay dài hạn,numeric__Tổng cộng
,,,VND,VND,VND,,,
Số đầu năm,Số đầu năm,Số đầu năm,7.844.850.298,12.905.000,7.857.755.298,7844850298.0,12905000.0,7857755298.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,2.305.731.503,-,2.305.731.503,2305731503.0,,2305731503.0
Các khoản dự phòng đã sử dụng/ hoàn nhập,Các khoản dự phòng đã sử dụng/ hoàn nhập,Các khoản dự phòng đã sử dụng/ hoàn nhập,(2.389.851.472),-,(2.389.851.472),-2389851472.0,,-2389851472.0
Số cuối năm,Số cuối năm,Số cuối năm,7.760.730.329,12.905.000,7.773.635.329,7760730329.0,12905000.0,7773635329.0
