row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,26,27.791.982.176.829,23.259.126.277.266,1.0,26.0,27791982176829.0,23259126277266.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,26,75.022.024.554,45.589.419.541,2.0,26.0,75022024554.0,45589419541.0
3. Doanh thu thuần về bản hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bản hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bản hàng và cung cấp dịch vụ (10=01-02),10,26,27.716.960.152.275,23.213.536.857.725,10.0,26.0,27716960152275.0,23213536857725.0
4. Giả vốn hàng bán và dịch vụ cung cấp,4. Giả vốn hàng bán và dịch vụ cung cấp,4. Giả vốn hàng bán và dịch vụ cung cấp,11,27,17.004.910.529.153,14.490.657.872.236,11.0,27.0,17004910529153.0,14490657872236.0
5. Lợi nhuận gộp về bản hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bản hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bản hàng và cung cấp dịch vụ (20=10-11),20,,10.712.049.623.122,8.722.878.985.489,20.0,,10712049623122.0,8722878985489.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,29,650.494.541.199,600.093.309.692,21.0,29.0,650494541199.0,600093309692.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,30,592.386.050.061,361.046.565.710,22.0,30.0,592386050061.0,361046565710.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,358.987.537.452,238.344.431.747,23.0,,358987537452.0,238344431747.0
8. Phăn lãi trong công ty liên kết,8. Phăn lãi trong công ty liên kết,8. Phăn lãi trong công ty liên kết,24,,404.927.466.313,439.027.114.689,24.0,,404927466313.0,439027114689.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,,2.345.957.646.507,2.047.833.577.540,25.0,,2345957646507.0,2047833577540.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,,4.219.254.770.652,3.553.288.111.032,26.0,,4219254770652.0,3553288111032.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,4.609.873.163.414,3.799.831.155.588,30.0,,4609873163414.0,3799831155588.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,112.683.563.071,60.448.926.027,31.0,,112683563071.0,60448926027.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,58.026.214.779,2.677.526.409,32.0,,58026214779.0,2677526409.0
14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),40,,54.657.348.292,57.771.399.618,40.0,,54657348292.0,57771399618.0
15. Tổng lợi nhuận kê toán trước thuế (50=30+40),15. Tổng lợi nhuận kê toán trước thuế (50=30+40),15. Tổng lợi nhuận kê toán trước thuế (50=30+40),50,,4.664.530.511.706,3.857.602.555.206,50.0,,4664530511706.0,3857602555206.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,31,761.989.612.116,599.214.896.970,51.0,31.0,761989612116.0,599214896970.0
17. (Thu nhập)/chi phí thuế thu nhập doanh nghiệp hoãn lại,17. (Thu nhập)/chi phí thuế thu nhập doanh nghiệp hoãn lại,17. (Thu nhập)/chi phí thuế thu nhập doanh nghiệp hoãn lại,52,31,(9.171.267.283),24.390.517.191,52.0,31.0,-9171267283.0,24390517191.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,3.911.712.166.873,3.233.997.141.045,60.0,,3911712166873.0,3233997141045.0
18.1. Lợi nhuận sau thuế của Công ty mẹ,18.1. Lợi nhuận sau thuế của Công ty mẹ,18.1. Lợi nhuận sau thuế của Công ty mẹ,61,,3.135.350.376.654,2.620.178.631.986,61.0,,3135350376654.0,2620178631986.0
18.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,776.361.790.219,613.818.509.059,62.0,,776361790219.0,613818509059.0
19. Lãi cơ bản trên cố phiếu,19. Lãi cơ bản trên cố phiếu,19. Lãi cơ bản trên cố phiếu,70,32,4.220,3.546,70.0,32.0,4220.0,3546.0
20. Lãi suy giảm trên cố phiếu,20. Lãi suy giảm trên cố phiếu,20. Lãi suy giảm trên cố phiếu,71,,4.220,3.546,71.0,,4220.0,3546.0
