row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốc,Số cuối năm > Giá gốc_1,Số cuối năm > Giá trị ghi số,Số đầu năm > Giá gốc,Số đầu năm > Giá gốc_1,Số đầu năm > Giá trị ghi số,numeric__col_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá gốc_1,numeric__Số đầu năm > Giá trị ghi số
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
a. Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,a. Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,a. Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,a. Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,6.767.480.399.809,6.767.480.399.809,6.708.978.162.325,5.627.125.964.621,5.627.125.964.621,5.568.623.727.137,,6767480399809.0,6767480399809.0,6708978162325.0,5627125964621.0,5627125964621.0,5568623727137.0
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,6.701.205.348.033,6.701.205.348.033,6.701.205.348.033,5.540.850.912.845,5.540.850.912.845,5.540.850.912.845,,6701205348033.0,6701205348033.0,6701205348033.0,5540850912845.0,5540850912845.0,5540850912845.0
- Các khoản đầu tư ngắn hạn khác,- Các khoản đầu tư ngắn hạn khác,- Các khoản đầu tư ngắn hạn khác,- Các khoản đầu tư ngắn hạn khác,66.275.051.776,66.275.051.776,7.772.814.292,86.275.051.776,86.275.051.776,27.772.814.292,,66275051776.0,66275051776.0,7772814292.0,86275051776.0,86275051776.0,27772814292.0
,,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
,,,,Giá gốc,Dự phòng,Giá trị hợp lý,Giá gốc,Dự phòng,Giá trị hợp lý,,,,,,,
b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,1.523.623.994.517,(309.784.634.600),3.619.821.215.454,1.423.360.844.792,(267.125.884.589),5.006.801.125.042,,1523623994517.0,-309784634600.0,3619821215454.0,1423360844792.0,-267125884589.0,5006801125042.0
b1) Đầu tư vào công ty liên kết,b1) Đầu tư vào công ty liên kết,b1) Đầu tư vào công ty liên kết,b1) Đầu tư vào công ty liên kết,630.000.000.000,-,2.032.899.330.604,630.000.000.000,-,3.512.883.994.005,,630000000000.0,,2032899330604.0,630000000000.0,,3512883994005.0
- Công ty Cổ phần Synnex FPT,- Công ty Cổ phần Synnex FPT,- Công ty Cổ phần Synnex FPT,(i),398.500.000.000,-,936.753.137.234,398.500.000.000,-,786.922.199.961,,398500000000.0,,936753137234.0,398500000000.0,,786922199961.0
- Công ty Cổ phần Chứng khoán FPT,- Công ty Cổ phần Chứng khoán FPT,- Công ty Cổ phần Chứng khoán FPT,(ii),110.000.000.000,-,276.578.220.000,110.000.000.000,-,386.990.853.000,,110000000000.0,,276578220000.0,110000000000.0,,386990853000.0
- Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,- Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,- Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,(ii),94.000.000.000,-,773.671.700.000,94.000.000.000,-,2.297.924.000.000,,94000000000.0,,773671700000.0,94000000000.0,,2297924000000.0
- Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,- Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,- Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,(i),27.500.000.000,-,45.896.273.370,27.500.000.000,-,41.046.941.044,,27500000000.0,,45896273370.0,27500000000.0,,41046941044.0
b2) Đầu tư góp vốn vào đơn vị khác,b2) Đầu tư góp vốn vào đơn vị khác,b2) Đầu tư góp vốn vào đơn vị khác,b2) Đầu tư góp vốn vào đơn vị khác,893.623.994.517,(309.784.634.600),1.586.921.884.850,793.360.844.792,(267.125.884.589),1.493.917.131.037,,893623994517.0,-309784634600.0,1586921884850.0,793360844792.0,-267125884589.0,1493917131037.0
- Các khoản đầu tư khác,- Các khoản đầu tư khác,- Các khoản đầu tư khác,(i),893.623.994.517,(309.784.634.600),1.586.921.884.850,793.360.844.792,(267.125.884.589),1.493.917.131.037,,893623994517.0,-309784634600.0,1586921884850.0,793360844792.0,-267125884589.0,1493917131037.0
