row_label_raw,row_label_full,col_0,Nhà cửavà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Khác,Tổng cộng,numeric__Nhà cửavà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.885.281.113.709,6.772.913.048.814,58.536.551.290,738.060.796.174,17.192.637.622,9.471.984.147.609,1885281113709.0,6772913048814.0,58536551290.0,738060796174.0,17192637622.0,9471984147609.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,21.913.971.371,1.869.098.543.098,28.314.612.956,40.274.593.260,43.708.176.012,2.003.309.896.697,21913971371.0,1869098543098.0,28314612956.0,40274593260.0,43708176012.0,2003309896697.0
Đãu tư xây dựng cơ bảnhoản thành,NGUYÊN GIÁ > Đãu tư xây dựng cơ bảnhoản thành,Đãu tư xây dựng cơ bảnhoản thành,625.182.854.382,57.050.256.160,-,159.485.000,2.220.292.063,684.612.887.605,625182854382.0,57050256160.0,,159485000.0,2220292063.0,684612887605.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(278.468.555.463),(18.910.327.007),(2.369.613.936),(3.972.755.609),(385.566.056),(304.106.818.071),-278468555463.0,-18910327007.0,-2369613936.0,-3972755609.0,-385566056.0,-304106818071.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(4.068.053.095),70.317.547.798,118.339.200,(65.086.730.935),(1.281.102.968),-,-4068053095.0,70317547798.0,118339200.0,-65086730935.0,-1281102968.0,
Tài sản cố định thu hồi nhập kho,NGUYÊN GIÁ > Tài sản cố định thu hồi nhập kho,Tài sản cố định thu hồi nhập kho,-,(520.053.726.588),-,(54.458.442.025),-,(574.512.168.613),,-520053726588.0,,-54458442025.0,,-574512168613.0
Tăng/(giảm) khác,NGUYÊN GIÁ > Tăng/(giảm) khác,Tăng/(giảm) khác,(5.229.074.544),1.167.634.585,314.224.342,23.521.480.005,(437.404),19.773.826.984,-5229074544.0,1167634585.0,314224342.0,23521480005.0,-437404.0,19773826984.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.244.612.256.360,8.231.582.976.860,84.914.113.852,678.498.425.870,61.453.999.269,11.301.061.772.211,2244612256360.0,8231582976860.0,84914113852.0,678498425870.0,61453999269.0,11301061772211.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
