row_label_raw,row_label_full,col_0,Tại ngày1.1.2023VND,TăngVND,GiảmVND,Phân loại lạiVND,Đánh giả lạiVND,Tại ngày31.12.2023VND,numeric__Tại ngày1.1.2023VND,numeric__TăngVND,numeric__GiảmVND,numeric__Phân loại lạiVND,numeric__Đánh giả lạiVND,numeric__Tại ngày31.12.2023VND
Vay ngân hàng (iii),Vay ngân hàng (iii),Vay ngân hàng (iii),309.745.847.108,-,-,(69.832.220.000),10.025.403.945,249.939.031.053,309745847108.0,,,-69832220000.0,10025403945.0,249939031053.0
Trái phiếu thường (iv),Trái phiếu thường (iv),Trái phiếu thường (iv),10.000.000.000.000,9.000.000.000.000,-,(5.000.000.000.000),-,14.000.000.000.000,10000000000000.0,9000000000000.0,,-5000000000000.0,,14000000000000.0
Nợ thuê tài chính dài hạn(Thuyết minh 20(b)(v)),Nợ thuê tài chính dài hạn(Thuyết minh 20(b)(v)),Nợ thuê tài chính dài hạn(Thuyết minh 20(b)(v)),-,3.910.577.779.621,(145.116.305.330),(305.164.895.027),(16.026.511.826),3.444.270.067.438,,3910577779621.0,-145116305330.0,-305164895027.0,-16026511826.0,3444270067438.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,(470.918.259.972),33.747.664.602,,-,(437.170.595.370),,-470918259972.0,33747664602.0,,,-437170595370.0
,,,10.309.745.847.108,12.439.659.519.649,(111.368.640.728),(5.374.997.115.027),(6.001.107.881),17.257.038.503.121,10309745847108.0,12439659519649.0,-111368640728.0,-5374997115027.0,-6001107881.0,17257038503121.0
(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,,,,,,
Chi tiết khoản vay ngân hàng dài hạn như sau:,Chi tiết khoản vay ngân hàng dài hạn như sau:,Chi tiết khoản vay ngân hàng dài hạn như sau:,Chi tiết khoản vay ngân hàng dài hạn như sau:,Chi tiết khoản vay ngân hàng dài hạn như sau:,Chi tiết khoản vay ngân hàng dài hạn như sau:,Chi tiết khoản vay ngân hàng dài hạn như sau:,Chi tiết khoản vay ngân hàng dài hạn như sau:,Chi tiết khoản vay ngân hàng dài hạn như sau:,,,,,,
Bên cho vay,Chi tiết khoản vay ngân hàng dài hạn như sau: > Bên cho vay,Bên cho vay,Loạitiền,Thời gianđáo hạn,2023,2023,2022,2022,,,2023.0,2023.0,2022.0,2022.0
Bên cho vay,Bên cho vay,Bên cho vay,Loạitiền,Thời gianđáo hạn,Vay dài hạnđến hạn trảVND,Vay dài hạnVND,Vay dài hạnđến hạn trảVND,Vay dài hạnVND,,,,,,
Ngân hàng Thương mại Cổ phầnQuản đội (*),Bên cho vay > Ngân hàng Thương mại Cổ phầnQuản đội (*),Ngân hàng Thương mại Cổ phầnQuản đội (*),USD,Thắng 6 năm 2028,70.700.420.000,249.939.031.053,68.298.400.000,309.745.847.108,,,70700420000.0,249939031053.0,68298400000.0,309745847108.0
