row_label_raw,row_label_full,Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a))_1,Phải thu ngắn hạn khác (Thuyết minh 8(a))_2,numeric__Phải thu ngắn hạn khác (Thuyết minh 8(a))_1,numeric__Phải thu ngắn hạn khác (Thuyết minh 8(a))_2
"Thai Vietjet Air Joint Stock Co., Ltd. (i)","Thai Vietjet Air Joint Stock Co., Ltd. (i)","Thai Vietjet Air Joint Stock Co., Ltd. (i)",3.185.158.270.224,2.144.870.380.860,3185158270224.0,2144870380860.0
Angelica Holding Limited,Angelica Holding Limited,Angelica Holding Limited,470.145.000.000,454.350.000.000,470145000000.0,454350000000.0
Công ty Cổ phần Khu du lịch Bắc Mỹ An (iii),Công ty Cổ phần Khu du lịch Bắc Mỹ An (iii),Công ty Cổ phần Khu du lịch Bắc Mỹ An (iii),135.900.000.000,1.424.910.400.000,135900000000.0,1424910400000.0
Khác,Khác,Khác,197.292.721.095,145.787.507.952,197292721095.0,145787507952.0
,,,3.988.495.991.319,4.169.918.288.812,3988495991319.0,4169918288812.0
