row_label_raw,row_label_full,Hội đồng Quản trị,Thủ lao VND,numeric__Thủ lao VND
Bà Nguyễn Thị Phương Thảo (*),Bà Nguyễn Thị Phương Thảo (*),Bà Nguyễn Thị Phương Thảo (*),988.016.242,988016242.0
Bà Nguyễn Thanh Hà,Bà Nguyễn Thanh Hà,Bà Nguyễn Thanh Hà,1.154.724.787,1154724787.0
Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,974.888.889,974888889.0
Ông Đình Việt Phương,Ông Đình Việt Phương,Ông Đình Việt Phương,784.499.998,784499998.0
Ông Nguyễn Thanh Hùng,Ông Nguyễn Thanh Hùng,Ông Nguyễn Thanh Hùng,895.775.182,895775182.0
Ông Lưu Đức Khánh,Ông Lưu Đức Khánh,Ông Lưu Đức Khánh,873.349.204,873349204.0
Ông Chu Việt Cường,Ông Chu Việt Cường,Ông Chu Việt Cường,1.098.349.204,1098349204.0
Ông Donal Joshep Boylan,Ông Donal Joshep Boylan,Ông Donal Joshep Boylan,-,
Bà Hồ Ngọc Yến Phương,Ông Donal Joshep Boylan > Bà Hồ Ngọc Yến Phương,Bà Hồ Ngọc Yến Phương,608.499.997,608499997.0
