row_label_raw,row_label_full,Bên cho vay,Loại tiên,Thời gian đáo hạn,2023 VND,2022 VND,numeric__Loại tiên,numeric__Thời gian đáo hạn,numeric__2023 VND,numeric__2022 VND
Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,Các khoản vay có tài sản đảm bảo,,,,
"Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh, một bên liên quan (Thuyết minh 40(b))(*)","Các khoản vay có tài sản đảm bảo > Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh, một bên liên quan (Thuyết minh 40(b))(*)","Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh, một bên liên quan (Thuyết minh 40(b))(*)",USD VND,Tháng 1 đến tháng 4 năm 2024,3.300.425.512.901,2.918.027.095.639,,,3300425512901.0,2918027095639.0
Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,Các khoản vay không có tài sản đảm bảo,,,,
Ngân hàng Thương mại Cổ phần Quân Đội,Các khoản vay không có tài sản đảm bảo > Ngân hàng Thương mại Cổ phần Quân Đội,Ngân hàng Thương mại Cổ phần Quân Đội,VND,Tháng 1 đến tháng 6 năm 2024,2.058.001.325.721,1.072.567.986.932,,,2058001325721.0,1072567986932.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Các khoản vay không có tài sản đảm bảo > Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,VND,Tháng 1 đến tháng 3 năm 2024,1.159.674.562.979,2.146.440.768.211,,,1159674562979.0,2146440768211.0
Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Các khoản vay không có tài sản đảm bảo > Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,VND,Tháng 4 đến tháng 6 năm 2024,899.060.278.181,699.859.102.940,,,899060278181.0,699859102940.0
"Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Các khoản vay không có tài sản đảm bảo > Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh Thành phố Hồ Chí Minh",VND,Tháng 1 năm 2024,650.000.000.000,649.714.086.079,,,650000000000.0,649714086079.0
Ngân hàng TNHH Một thành viên HSBC Việt Nam,Các khoản vay không có tài sản đảm bảo > Ngân hàng TNHH Một thành viên HSBC Việt Nam,Ngân hàng TNHH Một thành viên HSBC Việt Nam,VND,Tháng 2 đến tháng 3 năm 2024,65.767.373.799,-,,,65767373799.0,
Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex,Các khoản vay không có tài sản đảm bảo > Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex,VND,Tháng 3 năm 2023,-,299.994.342.284,,,,299994342284.0
,,,,,8.132.929.053.581,7.786.603.382.085,,,8132929053581.0,7786603382085.0
