row_label_raw,row_label_full,col_0,2023,2022,numeric__2023,numeric__2022
USD,USD,USD,20.472.021,9.411.017,20472021.0,9411017.0
SGD,SGD,SGD,200.547,10.239.704.671,200547.0,10239704671.0
MYR,MYR,MYR,1.135.970,126.283.863,1135970.0,126283863.0
KRW,KRW,KRW,4.400.704.971,409.254,4400704971.0,409254.0
JPY,JPY,JPY,40.239.376,43.940,40239376.0,43940.0
IDR,IDR,IDR,113.645.890,2.864.650,113645890.0,2864650.0
THB,THB,THB,3.223.522,1.135.970,3223522.0,1135970.0
CNY,CNY,CNY,212.308,203.295,212308.0,203295.0
INR,INR,INR,141.158.821,31.673,141158821.0,31673.0
HKD,HKD,HKD,713.933,10.655.005,713933.0,10655005.0
AUD,AUD,AUD,4.369.871,279.800,4369871.0,279800.0
EUR,EUR,EUR,41.730,1.955,41730.0,1955.0
TWD,TWD,TWD,267.300,54.350,267300.0,54350.0
GBP,GBP,GBP,1.655,108.394.060,1655.0,108394060.0
MMK,MMK,MMK,2.864.650,2.864.650,2864650.0,2864650.0
