row_label_raw,row_label_full,Mãsố,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,Thuyếtminh,2023VND,2022VND,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01 Lợi nhuận/(lỗ) kế toán trước thuếĐiều chỉnh cho các khoản:,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01 Lợi nhuận/(lỗ) kế toán trước thuếĐiều chỉnh cho các khoản:,01 Lợi nhuận/(lỗ) kế toán trước thuếĐiều chỉnh cho các khoản:,,606.103.607.021,(2.648.658.910.470),,606103607021.0,-2648658910470.0
"02 Khấu hao tài sản cố định (""TSCĐ"")","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02 Khấu hao tài sản cố định (""TSCĐ"")","02 Khấu hao tài sản cố định (""TSCĐ"")","11, 37",413.253.679.639,79.733.663.056,,413253679639.0,79733663056.0
03 Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03 Các khoản dự phòng,03 Các khoản dự phòng,,3.711.543.636.438,1.915.036.223.300,,3711543636438.0,1915036223300.0
04 Lãi chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04 Lãi chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04 Lãi chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,31,(59.094.506.815),(159.921.609.696),31.0,-59094506815.0,-159921609696.0
05 Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05 Lãi từ hoạt động đầu tư,05 Lãi từ hoạt động đầu tư,,(876.478.926.895),(431.107.961.858),,-876478926895.0,-431107961858.0
06 Chi phí lãi vay và chi phí phát hành trái phiếu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06 Chi phí lãi vay và chi phí phát hành trái phiếu,06 Chi phí lãi vay và chi phí phát hành trái phiếu,32,1.950.254.195.864,1.383.641.245.573,32.0,1950254195864.0,1383641245573.0
08 Lợi nhuận từ hoạt động kinh doanh trước những thay đối vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08 Lợi nhuận từ hoạt động kinh doanh trước những thay đối vốn lưu động,08 Lợi nhuận từ hoạt động kinh doanh trước những thay đối vốn lưu động,,5.745.581.685.252,138.722.649.905,,5745581685252.0,138722649905.0
09 Tăng các khoản phải thu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09 Tăng các khoản phải thu,09 Tăng các khoản phải thu,,(5.993.691.136.973),(10.296.343.168.616),,-5993691136973.0,-10296343168616.0
10 Giảm/(tăng) hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10 Giảm/(tăng) hàng tồn kho,10 Giảm/(tăng) hàng tồn kho,,279.331.528.411,(171.469.041.020),,279331528411.0,-171469041020.0
11 Tăng các khoản phải trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11 Tăng các khoản phải trả,11 Tăng các khoản phải trả,,639.223.032.704,10.128.853.566.700,,639223032704.0,10128853566700.0
12 Tăng chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12 Tăng chi phí trả trước,12 Tăng chi phí trả trước,,(2.639.461.061.745),(473.124.382.100),,-2639461061745.0,-473124382100.0
14 Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14 Tiền lãi vay đã trả,14 Tiền lãi vay đã trả,,(2.133.310.794.200),(1.399.077.113.144),,-2133310794200.0,-1399077113144.0
15 Thuế TNDN đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 15 Thuế TNDN đã nộp,15 Thuế TNDN đã nộp,15(b),(3.508.148.950),(140.133.402.011),,-3508148950.0,-140133402011.0
17 Tiền chi khác từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17 Tiền chi khác từ hoạt động kinh doanh,17 Tiền chi khác từ hoạt động kinh doanh,22,(140.802.046.115),(180.858.291.727),22.0,-140802046115.0,-180858291727.0
20 Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20 Lưu chuyển tiền thuần từ hoạt động kinh doanh,20 Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(4.246.636.941.616),(2.393.429.182.013),,-4246636941616.0,-2393429182013.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"21 Tiền chỉ để mua sắm, xây dựng TSCĐ","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21 Tiền chỉ để mua sắm, xây dựng TSCĐ","21 Tiền chỉ để mua sắm, xây dựng TSCĐ",,(1.425.811.924.197),(1.217.474.531.281),,-1425811924197.0,-1217474531281.0
