row_label_raw,row_label_full,Phải thu dài hạn khác (Thuyết minh 8(b)),Phải thu dài hạn khác (Thuyết minh 8(b))_1,Phải thu dài hạn khác (Thuyết minh 8(b))_2,numeric__Phải thu dài hạn khác (Thuyết minh 8(b))_1,numeric__Phải thu dài hạn khác (Thuyết minh 8(b))_2
Angelica Holding Limited,Angelica Holding Limited,Angelica Holding Limited,414.900.000.000,414.900.000.000,414900000000.0,414900000000.0
Apricot Aircraft Company (Ireland),Apricot Aircraft Company (Ireland),Apricot Aircraft Company (Ireland),157.134.443.567,-,157134443567.0,
AAA Golden Aircraft Star No.5 Limited,AAA Golden Aircraft Star No.5 Limited,AAA Golden Aircraft Star No.5 Limited,151.444.287.585,100.994.693.184,151444287585.0,100994693184.0
Khác,Khác,Khác,60.039.058.500,51.233.546.500,60039058500.0,51233546500.0
,,,783.517.789.652,567.128.239.684,783517789652.0,567128239684.0
