row_label_raw,row_label_full,col_0,Tàu bay và động cơ tàu bay VND,"Nhà cửa, vật kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Tàu bay và động cơ tàu bay VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,5.456.562.051.560,408.553.614.498,119.288.825.328,71.456.897.783,57.671.456.583,6.113.532.845.752,5456562051560.0,408553614498.0,119288825328.0,71456897783.0,57671456583.0,6113532845752.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,608.400.000.000,2.572.537.880,15.801.160.090,32.600.218.477,4.475.505.929,663.849.422.376,608400000000.0,2572537880.0,15801160090.0,32600218477.0,4475505929.0,663849422376.0
Bán và thuê hoạt động lại (*),Nguyên giá > Bán và thuê hoạt động lại (*),Bán và thuê hoạt động lại (*),(2.133.668.057.333),,-,-,-,(2.133.668.057.333),-2133668057333.0,,,,,-2133668057333.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(4.789.155.082),(31.636.364),(4.820.791.446),,,,-4789155082.0,-31636364.0,-4820791446.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,3.931.293.994.227,411.126.152.378,135.089.985.418,99.267.961.178,62.115.326.148,4.638.893.419.349,3931293994227.0,411126152378.0,135089985418.0,99267961178.0,62115326148.0,4638893419349.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,294.456.360.375,26.041.398.614,51.372.765.712,28.394.277.137,31.934.339.718,432.199.141.556,294456360375.0,26041398614.0,51372765712.0,28394277137.0,31934339718.0,432199141556.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,321.294.760.721,8.728.747.269,14.815.093.579,9.410.391.201,5.457.744.516,359.706.737.286,321294760721.0,8728747269.0,14815093579.0,9410391201.0,5457744516.0,359706737286.0
Bán và thuê hoạt động lại (*),Giá trị khấu hao lũy kế > Bán và thuê hoạt động lại (*),Bán và thuê hoạt động lại (*),(138.829.715.493),-,-,-,-,(138.829.715.493),-138829715493.0,,,,,-138829715493.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(4.789.155.082),(12.040.344),(4.801.195.426),,,,-4789155082.0,-12040344.0,-4801195426.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,476.921.405.603,34.770.145.883,66.187.859.291,33.015.513.256,37.380.043.890,648.274.967.923,476921405603.0,34770145883.0,66187859291.0,33015513256.0,37380043890.0,648274967923.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,5.162.105.691.185,382.512.215.884,67.916.059.616,43.062.620.646,25.737.116.865,5.681.333.704.196,5162105691185.0,382512215884.0,67916059616.0,43062620646.0,25737116865.0,5681333704196.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,3.454.372.588.624,376.356.006.495,68.902.126.127,66.252.447.922,24.735.282.258,3.990.618.451.426,3454372588624.0,376356006495.0,68902126127.0,66252447922.0,24735282258.0,3990618451426.0
