row_label_raw,row_label_full,col_0,2023 > Giá trị VND,2023 > Dự phòng VND,2022 > Giá trị VND,2022 > Dự phòng VND,numeric__2023 > Giá trị VND,numeric__2023 > Dự phòng VND,numeric__2022 > Giá trị VND,numeric__2022 > Dự phòng VND
Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,,,,,
Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo,Bên thứ ba > Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo,Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo,3.023.006.578.142,-,1.807.805.631.328,-,3023006578142.0,,1807805631328.0,
Phải thu từ chuyển nhượng cổ phần Pacific Star (i),Bên thứ ba > Phải thu từ chuyển nhượng cổ phần Pacific Star (i),Phải thu từ chuyển nhượng cổ phần Pacific Star (i),2.436.600.000.000,-,3.614.800.000.000,-,2436600000000.0,,3614800000000.0,
Phải thu từ hợp tác kinh doanh (ii),Bên thứ ba > Phải thu từ hợp tác kinh doanh (ii),Phải thu từ hợp tác kinh doanh (ii),2.186.560.400.000,-,-,-,2186560400000.0,,,
Phải thu từ chuyển nhượng cổ phần Vĩnh Sơn (iii),Bên thứ ba > Phải thu từ chuyển nhượng cổ phần Vĩnh Sơn (iii),Phải thu từ chuyển nhượng cổ phần Vĩnh Sơn (iii),2.070.000.000.000,-,-,-,2070000000000.0,,,
Quỹ bảo dưỡng tàu bay thuê,Quỹ bảo dưỡng tàu bay thuê,Quỹ bảo dưỡng tàu bay thuê,,,,,,,,
- Đóng góp định kỳ,Quỹ bảo dưỡng tàu bay thuê > - Đóng góp định kỳ,- Đóng góp định kỳ,1.900.288.003.915,-,1.485.171.706.801,-,1900288003915.0,,1485171706801.0,
- Phải thu chi phí bảo dưỡng tàu bay,Quỹ bảo dưỡng tàu bay thuê > - Phải thu chi phí bảo dưỡng tàu bay,- Phải thu chi phí bảo dưỡng tàu bay,144.203.942.409,-,442.633.214.126,-,144203942409.0,,442633214126.0,
Phải thu từ chuyển nhượng quyền kinh doanh (iv),Quỹ bảo dưỡng tàu bay thuê > Phải thu từ chuyển nhượng quyền kinh doanh (iv),Phải thu từ chuyển nhượng quyền kinh doanh (iv),1.151.067.552.161,-,2.083.963.627.561,-,1151067552161.0,,2083963627561.0,
Phải thu từ chuyển nhượng hợp đồng đặt cọc chuyển nhượng phần vốn góp (v),Quỹ bảo dưỡng tàu bay thuê > Phải thu từ chuyển nhượng hợp đồng đặt cọc chuyển nhượng phần vốn góp (v),Phải thu từ chuyển nhượng hợp đồng đặt cọc chuyển nhượng phần vốn góp (v),338.650.000.000,-,-,-,338650000000.0,,,
"Phải thu từ lãi tiền gửi, cho vay và BCC","Quỹ bảo dưỡng tàu bay thuê > Phải thu từ lãi tiền gửi, cho vay và BCC","Phải thu từ lãi tiền gửi, cho vay và BCC",293.085.862.361,-,157.232.260.570,-,293085862361.0,,157232260570.0,
Khoản chiết khấu từ nhà cung cấp,Quỹ bảo dưỡng tàu bay thuê > Khoản chiết khấu từ nhà cung cấp,Khoản chiết khấu từ nhà cung cấp,173.433.588.050,-,105.591.795.895,-,173433588050.0,,105591795895.0,
Khác,Quỹ bảo dưỡng tàu bay thuê > Khác,Khác,1.985.052.146.967,-,1.177.152.126.998,-,1985052146967.0,,1177152126998.0,
,,,15.701.948.074.005,-,10.874.350.363.279,-,15701948074005.0,,10874350363279.0,
Bên liên quan (Thuyết minh 40(b)),Quỹ bảo dưỡng tàu bay thuê > Bên liên quan (Thuyết minh 40(b)),Bên liên quan (Thuyết minh 40(b)),3.988.495.991.319,-,4.169.918.288.812,-,3988495991319.0,,4169918288812.0,
,,,19.690.444.065.324,-,15.044.268.652.091,-,19690444065324.0,,15044268652091.0,
