row_label_raw,row_label_full,Ban điều hành,"Lương, thường và các khoản chi bằng tiền khác VND","numeric__Lương, thường và các khoản chi bằng tiền khác VND"
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,1.944.345.833,1944345833.0
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc,5.652.840.000,5652840000.0
