row_label_raw,row_label_full,col_0,Chi phí bảo dưỡngtàu bay thuếVND,Chi phí hoàn tràtàu bay thuếVND,Chi phí kiểm tra tàu bayVND,"Phụ tùng, côngcụ và dụng cụVND",Chi phí tiêu tàubay hoán lạiVND,KhácVND,Tổng cộngVND,numeric__Chi phí bảo dưỡngtàu bay thuếVND,numeric__Chi phí hoàn tràtàu bay thuếVND,numeric__Chi phí kiểm tra tàu bayVND,"numeric__Phụ tùng, côngcụ và dụng cụVND",numeric__Chi phí tiêu tàubay hoán lạiVND,numeric__KhácVND,numeric__Tổng cộngVND
Tại ngày 1 tháng 1năm 2022,Tại ngày 1 tháng 1năm 2022,Tại ngày 1 tháng 1năm 2022,5.065.554.996.522,632.155.195.498,174.818.646.585,182.890.430.569,-,33.635.365.276,6.089.054.634.450,5065554996522.0,632155195498.0,174818646585.0,182890430569.0,,33635365276.0,6089054634450.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,692.655.542.194,77.371.593.378,557.885.544.084,70.321.938.834,-,17.168.107.527,1.415.402.726.017,692655542194.0,77371593378.0,557885544084.0,70321938834.0,,17168107527.0,1415402726017.0
Kết chuyển tửhàng tôn kho,Kết chuyển tửhàng tôn kho,Kết chuyển tửhàng tôn kho,-,-,-,242.667.349.245,-,-,242.667.349.245,,,,242667349245.0,,,242667349245.0
Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),-,-,-,-,-,225.385.696.812,225.385.696.812,,,,,,225385696812.0,225385696812.0
Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),-,-,-,-,-,(31.476.045.524),(1.243.669.379.593),,,,,,-31476045524.0,-1243669379593.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(654.143.517.148),(92.016.962.579),(237.360.550.237),(228.672.304.105),-,-,(89.651.834.166),-654143517148.0,-92016962579.0,-237360550237.0,-228672304105.0,,,-89651834166.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,(80.305.930.668),(9.345.903.498),-,-,-,-,-,-80305930668.0,-9345903498.0,,,,,
Tại ngày 31 tháng12 năm 2022,Tại ngày 31 tháng12 năm 2022,Tại ngày 31 tháng12 năm 2022,5.023.761.090.900,608.163.922.799,495.343.640.432,267.207.414.543,-,244.713.124.091,6.639.189.192.765,5023761090900.0,608163922799.0,495343640432.0,267207414543.0,,244713124091.0,6639189192765.0
Tại ngày 31 tháng12 năm 2022,Tại ngày 31 tháng12 năm 2022,Tại ngày 31 tháng12 năm 2022,2.066.687.396.654,190.027.889.069,212.379.001.700,1.363.169.368,875.071.909.143,294.736.854.724,3.640.266.220.658,2066687396654.0,190027889069.0,212379001700.0,1363169368.0,875071909143.0,294736854724.0,3640266220658.0
Tăng trong nămKết chuyển tửhàng tôn kho,Tăng trong nămKết chuyển tửhàng tôn kho,Tăng trong nămKết chuyển tửhàng tôn kho,-,-,-,468.600.576.985,-,-,468.600.576.985,,,,468600576985.0,,,468600576985.0
Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),-,-,196.932.615.877,45.113.720.216,-,5.376.482.409,247.422.818.502,,,196932615877.0,45113720216.0,,5376482409.0,247422818502.0
Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),Kết chuyển tử chi phí xây dựng cơbản độ dang(Thuyết minh 12),-,-,(166.978.535.748),(65.499.397.072),-,218.298.389.324,(14.179.543.496),,,-166978535748.0,-65499397072.0,,218298389324.0,-14179543496.0
Phân loại lạiPhân bổ trong năm,Phân loại lạiPhân bổ trong năm,Phân loại lạiPhân bổ trong năm,(729.459.161.822),(117.125.728.463),(163.973.318.830),(442.526.903.016),-,(471.684.749.348),(1.924.769.861.479),-729459161822.0,-117125728463.0,-163973318830.0,-442526903016.0,,-471684749348.0,-1924769861479.0
Tại ngày 31 tháng12 năm 2023,Tại ngày 31 tháng12 năm 2023,Tại ngày 31 tháng12 năm 2023,6.360.989.325.732,681.066.083.405,573.703.403.431,274.258.581.024,875.071.909.143,291.440.101.200,9.056.529.403.935,6360989325732.0,681066083405.0,573703403431.0,274258581024.0,875071909143.0,291440101200.0,9056529403935.0
