row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,58.340.618.715.308,40.141.863.488.029,,,58340618715308.0,40141863488029.0
02,02,02,Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,29,58.340.618.715.308,40.141.863.488.029,,29.0,58340618715308.0,40141863488029.0
11,02 > 11,11,Giá vốn hàng bán và dịch vụ cung cấp,30,(55.819.871.829.489),(42.135.151.389.707),,30.0,-55819871829489.0,-42135151389707.0
20,02 > 20,20,Lợi nhuận/(lỗ) gộp về bán hàng và cung cấp dịch vụ,,2.520.746.885.819,(1.993.287.901.678),,,2520746885819.0,-1993287901678.0
21,02 > 21,21,Doanh thu hoạt động tài chính,31,2.955.033.555.114,2.246.221.465.280,,31.0,2955033555114.0,2246221465280.0
22,02 > 22,22,Chi phí tài chính,32,(2.242.066.937.617),(2.483.054.483.054),,32.0,-2242066937617.0,-2483054483054.0
23,02 > 23,23,- Trong đó: Chi phí lãi vay,32,(1.950.254.195.864),(1.383.641.245.573),,32.0,-1950254195864.0,-1383641245573.0
25,02 > 25,25,Chi phí bán hàng,33,(1.950.124.205.949),(936.343.663.352),,33.0,-1950124205949.0,-936343663352.0
26,02 > 26,26,Chi phí quản lý doanh nghiệp,34,(1.099.316.843.401),(534.452.104.416),,34.0,-1099316843401.0,-534452104416.0
30,02 > 30,30,Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh,,184.272.453.966,(3.700.916.687.220),,,184272453966.0,-3700916687220.0
31,02 > 31,31,Thu nhập khác,,662.197.107.572,1.316.105.112.282,,,662197107572.0,1316105112282.0
32,02 > 32,32,Chi phí khác,,(240.365.954.517),(263.847.335.532),,,-240365954517.0,-263847335532.0
40,02 > 40,40,Lợi nhuận khác,35,421.831.153.055,1.052.257.776.750,,35.0,421831153055.0,1052257776750.0
50,02 > 50,50,Tổng lợi nhuận/(lỗ) kế toán trước thuế,,606.103.607.021,(2.648.658.910.470),,,606103607021.0,-2648658910470.0
51,02 > 51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",36,(3.217.284.657),(172.103.552.548),,36.0,-3217284657.0,-172103552548.0
52,02 > 52,52,(Chi phí)/thu nhập thuế TNDN hoãn lại,"36, 23",(371.472.907.013),558.787.619.233,,,-371472907013.0,558787619233.0
60,02 > 60,60,Lợi nhuận/(lỗ) sau thuế TNDN,,231.413.415.351,(2.261.974.843.785),,,231413415351.0,-2261974843785.0
,,,Phân bổ cho:,,,,,,,
61,02 > 61,61,Cổ đông của Công ty,,230.590.889.181,(2.262.499.009.854),,,230590889181.0,-2262499009854.0
62,02 > 62,62,Cổ đông không kiểm soát,,822.526.170,524.166.069,,,822526170.0,524166069.0
