row_label_raw,row_label_full,col_0,Phần mềm VND,numeric__Phần mềm VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,61.941.976.858,61941976858.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.027.839.087,4027839087.0
Kết chuyển từ chi phí xây dựng cơ bản mới hoàn thành(Thuyết minh 12),Nguyên giá > Kết chuyển từ chi phí xây dựng cơ bản mới hoàn thành(Thuyết minh 12),Kết chuyển từ chi phí xây dựng cơ bản mới hoàn thành(Thuyết minh 12),22.741.208.828,22741208828.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,88.711.024.773,88711024773.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,33.556.184.806,33556184806.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.854.649.868,7854649868.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,41.410.834.674,41410834674.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,28.385.792.052,28385792052.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,47.300.190.099,47300190099.0
