row_label_raw,row_label_full,col_0,Tại ngày 1.1.2023VND,Số phải thu/phải nộp trong nămVND,Số đã thực nộp/thực hoàn trong nămVND,Cán trừ trong nămVND,Phân loại lại/khácVND,Tại ngày 31.12.2023VND,numeric__Tại ngày 1.1.2023VND,numeric__Số phải thu/phải nộp trong nămVND,numeric__Số đã thực nộp/thực hoàn trong nămVND,numeric__Cán trừ trong nămVND,numeric__Phân loại lại/khácVND,numeric__Tại ngày 31.12.2023VND
(a) Phải thu,(a) Phải thu,(a) Phải thu,(a) Phải thu,(a) Phải thu,(a) Phải thu,(a) Phải thu,(a) Phải thu,(a) Phải thu,,,,,,
Thuế GTGT được khấu trừ,(a) Phải thu > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,139.358.572.943,1.548.199.959.103,-,(1.678.551.876.571),-,9.006.655.475,139358572943.0,1548199959103.0,,-1678551876571.0,,9006655475.0
Thuế nhà thầu nước ngoài,(a) Phải thu > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,24.874.721.710,-,-,-,35.477.645.657,60.352.367.367,24874721710.0,,,,35477645657.0,60352367367.0
Thuế hàng hóa và dịch vụ tại nước ngoài,(a) Phải thu > Thuế hàng hóa và dịch vụ tại nước ngoài,Thuế hàng hóa và dịch vụ tại nước ngoài,-,37.070.618.553,(12.574.940.848),(24.216.226.202),7.411.283.206,7.690.734.709,,37070618553.0,-12574940848.0,-24216226202.0,7411283206.0,7690734709.0
,,,164.233.294.653,1.585.270.577.656,(12.574.940.848),(1.702.768.102.773),42.888.928.863,77.049.757.551,164233294653.0,1585270577656.0,-12574940848.0,-1702768102773.0,42888928863.0,77049757551.0
(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,(b) Phải nộp,,,,,,
Thuế TNDN,(b) Phải nộp > Thuế TNDN,Thuế TNDN,165.344.856.313,3.217.284.657,(3.508.148.950),-,-,165.053.992.020,165344856313.0,3217284657.0,-3508148950.0,,,165053992020.0
Thuế GTGT,(b) Phải nộp > Thuế GTGT,Thuế GTGT,-,1.963.914.766.418,(75.062.756.699),(1.678.551.876.571),-,210.300.133.148,,1963914766418.0,-75062756699.0,-1678551876571.0,,210300133148.0
Thuế thu nhập cá nhân,(b) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,192.791.399.947,395.665.663.789,(404.680.327.672),-,(109.322.865.537),74.453.870.527,192791399947.0,395665663789.0,-404680327672.0,,-109322865537.0,74453870527.0
Thuế nhà thầu nước ngoài,(b) Phải nộp > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,33.012.684.871,(68.483.590.419),-,35.477.645.657,6.740.109,,33012684871.0,-68483590419.0,,35477645657.0,6740109.0
Thuế nhập khẩu,(b) Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,910.718,126.290.205.059,(126.291.115.777),-,-,-,910718.0,126290205059.0,-126291115777.0,,,
Thuế hàng hóa và dịch vụ tại nước ngoài,(b) Phải nộp > Thuế hàng hóa và dịch vụ tại nước ngoài,Thuế hàng hóa và dịch vụ tại nước ngoài,280.869.057,82.179.649.571,(65.655.575.632),(24.216.226.202),7.411.283.206,-,280869057.0,82179649571.0,-65655575632.0,-24216226202.0,7411283206.0,
Khác,(b) Phải nộp > Khác,Khác,-,54.863.745.074,(54.863.745.074),-,-,-,,54863745074.0,-54863745074.0,,,
,,,358.418.036.035,2.659.143.999.439,(798.545.260.223),(1.702.768.102.773),(66.433.936.674),449.814.735.804,358418036035.0,2659143999439.0,-798545260223.0,-1702768102773.0,-66433936674.0,449814735804.0
