row_label_raw,row_label_full,col_0,2023 > Giá trị VND,2023 > Dự phòng VND,2022 > Giá trị VND,2022 > Dự phòng VND,numeric__2023 > Giá trị VND,numeric__2023 > Dự phòng VND,numeric__2022 > Giá trị VND,numeric__2022 > Dự phòng VND
Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,,,,,
Đóng góp định kỳ quỹbảo dưỡng tàu baythuê,Bên thứ ba > Đóng góp định kỳ quỹbảo dưỡng tàu baythuê,Đóng góp định kỳ quỹbảo dưỡng tàu baythuê,10.921.765.414.953,-,9.261.664.412.149,-,10921765414953.0,,9261664412149.0,
Đặt cọc mua tàu baynhận sau 12 thángtiếp theo (i),Bên thứ ba > Đặt cọc mua tàu baynhận sau 12 thángtiếp theo (i),Đặt cọc mua tàu baynhận sau 12 thángtiếp theo (i),3.069.311.858.793,-,3.248.651.248.296,-,3069311858793.0,,3248651248296.0,
Đặt cọc thuê tàu bay,Bên thứ ba > Đặt cọc thuê tàu bay,Đặt cọc thuê tàu bay,2.051.906.249.573,-,1.385.265.877.334,-,2051906249573.0,,1385265877334.0,
Đặt cọc dịch vụ mặt đất,Bên thứ ba > Đặt cọc dịch vụ mặt đất,Đặt cọc dịch vụ mặt đất,330.426.370.184,-,149.392.198.866,-,330426370184.0,,149392198866.0,
Phải thu từ chuyểnnhượng cổ phần,Bên thứ ba > Phải thu từ chuyểnnhượng cổ phần,Phải thu từ chuyểnnhượng cổ phần,-,-,666.000.000.000,-,,,666000000000.0,
Khác,Bên thứ ba > Khác,Khác,216.198.784.194,-,95.866.770.453,-,216198784194.0,,95866770453.0,
,,,16.589.608.677.697,-,14.806.840.507.098,-,16589608677697.0,,14806840507098.0,
Bên liên quan(Thuyết minh 40(b)),Bên thứ ba > Bên liên quan(Thuyết minh 40(b)),Bên liên quan(Thuyết minh 40(b)),783.517.789.652,-,567.128.239.684,-,783517789652.0,,567128239684.0,
,,,17.373.126.467.349,-,15.373.968.746.782,-,17373126467349.0,,15373968746782.0,
