row_label_raw,row_label_full,Năm phát sinh lỗ,Tỉnh trạng kiểm tra của các cơ quan thuế,Số lỗ phát sinh VND,Số lỗ tính thuế đã được sử dụng VND,Số lỗ còn được chuyển sang các kỳ tính thuế sau VND,numeric__Tỉnh trạng kiểm tra của các cơ quan thuế,numeric__Số lỗ phát sinh VND,numeric__Số lỗ tính thuế đã được sử dụng VND,numeric__Số lỗ còn được chuyển sang các kỳ tính thuế sau VND
2020,2020,2020,Chưa quyết toán,2.414.670.803.135,(2.132.891.831.792),281.778.971.343,,2414670803135.0,-2132891831792.0,281778971343.0
2022,2022,2022,Chưa quyết toán,3.051.323.296.483,-,3.051.323.296.483,,3051323296483.0,,3051323296483.0
