row_label_raw,row_label_full,Trà trước cho người bán ngắn hạn (Thuyết minh 6(a)),Trà trước cho người bán ngắn hạn (Thuyết minh 6(a))_1,Trà trước cho người bán ngắn hạn (Thuyết minh 6(a))_2,numeric__Trà trước cho người bán ngắn hạn (Thuyết minh 6(a))_1,numeric__Trà trước cho người bán ngắn hạn (Thuyết minh 6(a))_2
Angelica Holding Limited,Angelica Holding Limited,Angelica Holding Limited,279.115.856.311,1.025.844.472.828,279115856311.0,1025844472828.0
Apricot Holding Limited,Apricot Holding Limited,Apricot Holding Limited,139.083.354.906,143.555.000.000,139083354906.0,143555000000.0
Công ty Cổ phần Tập đoàn Sovico,Công ty Cổ phần Tập đoàn Sovico,Công ty Cổ phần Tập đoàn Sovico,-,170.000.000.000,,170000000000.0
Khác,Khác,Khác,5.746.641.164,11.767.042.998,5746641164.0,11767042998.0
,,,423.945.852.381,1.351.166.515.826,423945852381.0,1351166515826.0
