row_label_raw,row_label_full,col_0,Sản xuất công nghiệp,Xây lắp,Lĩnh vực khác,Cộng,numeric__Sản xuất công nghiệp,numeric__Xây lắp,numeric__Lĩnh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,9.161.125.040.883,9.455.773.614.504,1.401.849.337.779,20.018.747.993.166,9161125040883.0,9455773614504.0,1401849337779.0,20018747993166.0
Các tài sản không phân bổ theo bộ phận,Số cuối năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,6.035.154.907.768,,,,6035154907768.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,26.053.902.900.934,,,,26053902900934.0
Nợ phải trả trực tiếp của bộ phận,Số cuối năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,4.566.772.740.989,13.865.810.908.316,450.747.060.597,18.883.330.709.902,4566772740989.0,13865810908316.0,450747060597.0,18883330709902.0
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ theo bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,18.883.330.709.902,,,,18883330709902.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,10.636.818.097.692,13.331.480.155.758,430.769.420.578,24.399.067.674.028,10636818097692.0,13331480155758.0,430769420578.0,24399067674028.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,3.583.857.195.309,,,,3583857195309.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,27.982.924.869.337,,,,27982924869337.0
Nợ phải trả trực tiếp của bộ phận,Số đầu năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,7.110.571.801.654,12.878.602.663.772,411.671.243.160,20.400.845.708.586,7110571801654.0,12878602663772.0,411671243160.0,20400845708586.0
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ theo bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,20.400.845.708.586,,,,20400845708586.0
