row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số phát sinh trong năm,Số phát sinh trong năm_1,Số phát sinh trong năm_2,Số phát sinh trong năm_3,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số phát sinh trong năm,numeric__Số phát sinh trong năm_1,numeric__Số phát sinh trong năm_2,numeric__Số phát sinh trong năm_3,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,Phải nộp,Phải thu,Phải nộp,Đã nộp,Đã nộp tại Lào,Giảm do thoái vốn công ty con,Phải nộp,Phải thu,,,,,,,,
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,307.749.988.310,9.672.135.912,618.573.950.667,(545.655.149.619),(418.623.438),(127.802.627.574),249.462.096.512,6.686.694.078,307749988310.0,9672135912.0,618573950667.0,-545655149619.0,-418623438.0,-127802627574.0,249462096512.0,6686694078.0
Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,142.063.845.958,2.159.764.743,288.908.382.648,(235.200.664.145),-,(66.191.242.417),128.063.237.833,642.680.532,142063845958.0,2159764743.0,288908382648.0,-235200664145.0,,-66191242417.0,128063237833.0,642680532.0
Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,-,351.584.575,(351.584.575),-,-,-,-,,,351584575.0,-351584575.0,,,,
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,-,98.988.000,(98.988.000),-,-,-,-,,,98988000.0,-98988000.0,,,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,67.133.386.112,7.487.500.113,77.176.512.380,(71.586.779.070),-,(15.401.218.141),55.807.841.657,5.973.440.489,67133386112.0,7487500113.0,77176512380.0,-71586779070.0,,-15401218141.0,55807841657.0,5973440489.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.028.379.323,11.017.365,10.158.169.746,(9.725.202.715),(418.623.438),(2.542.308.597),8.546.116.320,56.719.366,11028379323.0,11017365.0,10158169746.0,-9725202715.0,-418623438.0,-2542308597.0,8546116320.0,56719366.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,15.255.392.694,-,172.201.328.268,(162.676.184.917),-,(404.687.515),24.375.848.530,-,15255392694.0,,172201328268.0,-162676184917.0,,-404687515.0,24375848530.0,
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,3.686.900.832,-,12.350.803.655,(13.024.636.211),-,(333.744.336),2.679.323.940,-,3686900832.0,,12350803655.0,-13024636211.0,,-333744336.0,2679323940.0,
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",7.664.311.719,-,25.608.286.634,(24.531.367.827),-,(6.922.980.668),1.818.249.858,-,7664311719.0,,25608286634.0,-24531367827.0,,-6922980668.0,1818249858.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,2.921.800.705,-,1.581.894.265,(58.134.824),-,(2.641.456.485),1.804.103.661,-,2921800705.0,,1581894265.0,-58134824.0,,-2641456485.0,1804103661.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",57.995.970.967,13.853.691,30.138.000.496,(28.401.607.335),-,(33.364.989.415),26.367.374.713,13.853.691,57995970967.0,13853691.0,30138000496.0,-28401607335.0,,-33364989415.0,26367374713.0,13853691.0
Cộng,Cộng,Cộng,307.749.988.310,9.672.135.912,618.573.950.667,(545.655.149.619),(418.623.438),(127.802.627.574),249.462.096.512,6.686.694.078,307749988310.0,9672135912.0,618573950667.0,-545655149619.0,-418623438.0,-127802627574.0,249462096512.0,6686694078.0
