row_label_raw,row_label_full,"Chi phí thanh lý, nhượng bán TSCĐ và giá trị còn lại của TSCĐ thanh lý, nhượng bán > Giá trị còn lại của tài sản giảm do cháy nổ trong năm - Thủy điện Nậm Mu",Năm nay > -,Năm trước > 112.327.047 > 5.149.439.092,numeric__Năm nay > -,numeric__Năm trước > 112.327.047 > 5.149.439.092
"Tiền chậm nộp thuế, bảo hiểm xã hội và các khoản khác","Tiền chậm nộp thuế, bảo hiểm xã hội và các khoản khác","Tiền chậm nộp thuế, bảo hiểm xã hội và các khoản khác",57.799.340.784,121.920.562.864,57799340784.0,121920562864.0
"Thuế TNDN, TNCN nộp bên Lào","Thuế TNDN, TNCN nộp bên Lào","Thuế TNDN, TNCN nộp bên Lào",1.216.231.528,697.965.653,1216231528.0,697965653.0
Chi phí chuyển nhượng giảm phát thải,Chi phí chuyển nhượng giảm phát thải,Chi phí chuyển nhượng giảm phát thải,255.043.513,1.604.159.520,255043513.0,1604159520.0
Chi phí điều chỉnh sau quyết toán nhà máy Thủy điện Nậm Chiến,Chi phí điều chỉnh sau quyết toán nhà máy Thủy điện Nậm Chiến,Chi phí điều chỉnh sau quyết toán nhà máy Thủy điện Nậm Chiến,-,2.765.973.079,,2765973079.0
Phí tư vấn và bảo lãnh,Phí tư vấn và bảo lãnh,Phí tư vấn và bảo lãnh,4.547.221.257,-,4547221257.0,
Chi phí khác,Chi phí khác,Chi phí khác,5.519.037.661,3.205.651.827,5519037661.0,3205651827.0
Cộng,Cộng,Cộng,69.336.874.743,135.456.079.082,69336874743.0,135456079082.0
