row_label_raw,row_label_full,col_0,Vayngân hàng,"Vay cáctổ chức,cá nhân khác",Vay dài hạnđến hạn trả,Nợ thuệtài chínhđến hạn trả,Cộng,numeric__Vayngân hàng,"numeric__Vay cáctổ chức,cá nhân khác",numeric__Vay dài hạnđến hạn trả,numeric__Nợ thuệtài chínhđến hạn trả,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,3.628.989.300.634,25.953.105.002,1.654.546.716.179,15.932.182.427,5.325.421.304.242,3628989300634.0,25953105002.0,1654546716179.0,15932182427.0,5325421304242.0
Số tiền vay phát sinhtrong năm,Số tiền vay phát sinhtrong năm,Số tiền vay phát sinhtrong năm,2.985.557.064.724,89.910.779.000,-,-,3.075.467.843.724,2985557064724.0,89910779000.0,,,3075467843724.0
Số kết chuyển,Số kết chuyển,Số kết chuyển,-,-,1.262.207.111.134,17.071.376.881,1.279.278.488.015,,,1262207111134.0,17071376881.0,1279278488015.0
Lãi nhập gốc,Lãi nhập gốc,Lãi nhập gốc,-,1.432.440.728,-,-,1.432.440.728,,1432440728.0,,,1432440728.0
Chênh lệch tỷ giá dođánh giá lại,Chênh lệch tỷ giá dođánh giá lại,Chênh lệch tỷ giá dođánh giá lại,(14.326.849),-,113.373.098.882,(653.154.302),112.705.617.731,-14326849.0,,113373098882.0,-653154302.0,112705617731.0
Số tiền vay đã tràtrong năm,Số tiền vay đã tràtrong năm,Số tiền vay đã tràtrong năm,(3.635.330.342.119),(36.136.510.657),(660.932.247.770),(16.494.151.866),(4.348.893.252.412),-3635330342119.0,-36136510657.0,-660932247770.0,-16494151866.0,-4348893252412.0
Giảm do thoái vốncông ty con,Giảm do thoái vốncông ty con,Giảm do thoái vốncông ty con,(218.368.211.467),(10.639.904.405),(15.140.129.760),-,(244.148.245.632),-218368211467.0,-10639904405.0,-15140129760.0,,-244148245632.0
Giảm do bù trừ côngnợ,Giảm do bù trừ côngnợ,Giảm do bù trừ côngnợ,-,(5.810.700.766),(28.025.065),-,(5.838.725.831),,-5810700766.0,-28025065.0,,-5838725831.0
Phân loại lại,Phân loại lại,Phân loại lại,2.159.106.944,(2.053.606.944),(105.500.000),-,-,2159106944.0,-2053606944.0,-105500000.0,,
Số cuối năm,Số cuối năm,Số cuối năm,2.762.992.591.867,62.655.601.958,2.353.921.023.600,15.856.253.140,5.195.425.470.565,2762992591867.0,62655601958.0,2353921023600.0,15856253140.0,5195425470565.0
