row_label_raw,row_label_full,col_0,Chi phí quyềnsử dụng đất,Thương hiệuSông dà,Phần mềmmáy tính,Tài sản cố định vô hìnhkhác,Cộng,numeric__Chi phí quyềnsử dụng đất,numeric__Thương hiệuSông dà,numeric__Phần mềmmáy tính,numeric__Tài sản cố định vô hìnhkhác,numeric__Cộng
Nguyên giáSố đầu năm,Nguyên giáSố đầu năm,Nguyên giáSố đầu năm,10.935.518.564,-,5.647.397.447,690.000.000,17.272.916.011,10935518564.0,,5647397447.0,690000000.0,17272916011.0
Giảm do hợp nhất,Giảm do hợp nhất,Giảm do hợp nhất,(2.585.540.364),-,(89.978.524),(500.000.000),(3.175.518.888),-2585540364.0,,-89978524.0,-500000000.0,-3175518888.0
Phân loại lại,Phân loại lại,Phân loại lại,-,1.104.763.000,(1.104.763.000),-,-,,1104763000.0,-1104763000.0,,
Số cuối năm,Số cuối năm,Số cuối năm,8.349.978.200,1.104.763.000,4.452.655.923,190.000.000,14.097.397.123,8349978200.0,1104763000.0,4452655923.0,190000000.0,14097397123.0
Trong đó:Đã khấu hao hết nhưng vấn còn sử dụng,Trong đó:Đã khấu hao hết nhưng vấn còn sử dụng,Trong đó:Đã khấu hao hết nhưng vấn còn sử dụng,-,1.104.763.000,1.457.205.923,-,2.561.968.923,,1104763000.0,1457205923.0,,2561968923.0
Giá trị hao mònSố đầu năm,Giá trị hao mònSố đầu năm,Giá trị hao mònSố đầu năm,806.400.108,-,4.440.045.124,598.166.677,5.844.611.909,806400108.0,,4440045124.0,598166677.0,5844611909.0
Khấu hao trong năm,Khấu hao trong năm,Khấu hao trong năm,2.653.619,-,615.997.488,38.000.004,656.651.111,2653619.0,,615997488.0,38000004.0,656651111.0
Giảm do hợp nhất,Giảm do hợp nhất,Giảm do hợp nhất,(471.575.527),-,(89.978.524),(500.000.000),(1.061.554.051),-471575527.0,,-89978524.0,-500000000.0,-1061554051.0
Phân loại lại,Phân loại lại,Phân loại lại,-,1.104.763.000,(1.104.763.000),-,-,,1104763000.0,-1104763000.0,,
Số cuối năm,Số cuối năm,Số cuối năm,337.478.200,1.104.763.000,3.861.301.088,136.166.681,5.439.708.969,337478200.0,1104763000.0,3861301088.0,136166681.0,5439708969.0
Giá trị còn lạiSố đầu năm,Giá trị còn lạiSố đầu năm,Giá trị còn lạiSố đầu năm,10.129.118.456,-,1.207.352.323,91.833.323,11.428.304.102,10129118456.0,,1207352323.0,91833323.0,11428304102.0
Số cuối năm,Số cuối năm,Số cuối năm,8.012.500.000,-,591.354.835,53.833.319,8.657.688.154,8012500000.0,,591354835.0,53833319.0,8657688154.0
