row_label_raw,row_label_full,col_0,Máy móc và thiết bị,"Phương tiện vận tải, truyền dẫn",Cộng,numeric__Máy móc và thiết bị,"numeric__Phương tiện vận tải, truyền dẫn",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,65.634.524.957,6.991.652.725,72.626.177.682,65634524957.0,6991652725.0,72626177682.0
Thuê tài chính trong năm,Nguyên giá > Thuê tài chính trong năm,Thuê tài chính trong năm,12.458.125.001,1.245.481.818,13.703.606.819,12458125001.0,1245481818.0,13703606819.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(9.867.281.820),9.867.281.820,-,-9867281820.0,9867281820.0,
Mua lại tài sản cố định thuê tài chính,Nguyên giá > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,(6.922.000.000),-,(6.922.000.000),-6922000000.0,,-6922000000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,61.303.368.138,18.104.416.363,79.407.784.501,61303368138.0,18104416363.0,79407784501.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,20.274.091.645,218.489.145,20.492.580.790,20274091645.0,218489145.0,20492580790.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,13.377.265.165,4.444.437.192,17.821.702.357,13377265165.0,4444437192.0,17821702357.0
Phân loại lại,Giá trị hao mòn > Phân loại lại,Phân loại lại,(894.369.689),894.369.689,-,-894369689.0,894369689.0,
Mua lại tài sản cố định thuê tài chính,Giá trị hao mòn > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,(6.715.669.873),-,(6.715.669.873),-6715669873.0,,-6715669873.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,26.041.317.248,5.557.296.026,31.598.613.274,26041317248.0,5557296026.0,31598613274.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,45.360.433.312,6.773.163.580,52.133.596.892,45360433312.0,6773163580.0,52133596892.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,35.262.050.890,12.547.120.337,47.809.171.227,35262050890.0,12547120337.0,47809171227.0
