row_label_raw,row_label_full,Tên công ty,Vốn góp đến ngày 31/12/2020,Chênh lệch xác định giá trị cổ phiếu thường,"Tăng, giảm giá trị đầu tư do hợp nhất theo phương pháp vốn chủ",Giá trị khoản đầu tư tại ngày 31/12/2020,numeric__Vốn góp đến ngày 31/12/2020,numeric__Chênh lệch xác định giá trị cổ phiếu thường,"numeric__Tăng, giảm giá trị đầu tư do hợp nhất theo phương pháp vốn chủ",numeric__Giá trị khoản đầu tư tại ngày 31/12/2020
Công ty Cổ phần BOT Quốc Lộ 2,Công ty Cổ phần BOT Quốc Lộ 2,Công ty Cổ phần BOT Quốc Lộ 2,128.215.909.014,-,(87.985.909.014),40.230.000.000,128215909014.0,,-87985909014.0,40230000000.0
Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,84.000.000.000,-,50.848.445.697,134.848.445.697,84000000000.0,,50848445697.0,134848445697.0
Công ty TNHH Tư Vấn Xây dựng Sông Đà - Ucrin,Công ty TNHH Tư Vấn Xây dựng Sông Đà - Ucrin,Công ty TNHH Tư Vấn Xây dựng Sông Đà - Ucrin,3.504.398.126,-,263.999.337,3.768.397.463,3504398126.0,,263999337.0,3768397463.0
Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu Công nghiệp Sông Đà,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu Công nghiệp Sông Đà,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu Công nghiệp Sông Đà,1.065.245.494.600,154.096.669.600,(380.410.854.933),838.931.309.267,1065245494600.0,154096669600.0,-380410854933.0,838931309267.0
Công ty Cổ phần Phát triển nhà Khánh Hòa,Công ty Cổ phần Phát triển nhà Khánh Hòa,Công ty Cổ phần Phát triển nhà Khánh Hòa,20.887.000.000,-,(943.073.309),19.943.926.691,20887000000.0,,-943073309.0,19943926691.0
Công ty Cổ phần Điện Việt Lào,Công ty Cổ phần Điện Việt Lào,Công ty Cổ phần Điện Việt Lào,1.107.039.446.070,-,242.952.890.444,1.349.992.336.514,1107039446070.0,,242952890444.0,1349992336514.0
Công ty Cổ phần Cao su Phú Riềng Kratie,Công ty Cổ phần Cao su Phú Riềng Kratie,Công ty Cổ phần Cao su Phú Riềng Kratie,100.000.000.000,-,(96.000.000.000),4.000.000.000,100000000000.0,,-96000000000.0,4000000000.0
Công ty Cổ phần Sông Đà 12,Công ty Cổ phần Sông Đà 12,Công ty Cổ phần Sông Đà 12,12.005.000.000,-,(12.005.000.000),-,12005000000.0,,-12005000000.0,
Công ty Cổ phần Cơ khí Lắp máy Sông Đà,Công ty Cổ phần Cơ khí Lắp máy Sông Đà,Công ty Cổ phần Cơ khí Lắp máy Sông Đà,23.838.175.200,-,(23.838.175.200),-,23838175200.0,,-23838175200.0,
Cộng,Cộng,Cộng,2.544.735.423.010,154.096.669.600,(307.117.676.978),2.391.714.415.632,2544735423010.0,154096669600.0,-307117676978.0,2391714415632.0
