row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy móc vàthiết bị,"Phương tiện vântải, truyền dẫn","Thiết bị, dụngcụ quản lý",Tài sảncó định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc vàthiết bị,"numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị, dụngcụ quản lý",numeric__Tài sảncó định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,9.594.629.928.688,7.288.946.379.629,1.157.484.161.606,33.465.404.321,272.641.327.196,18.347.167.201.440,9594629928688.0,7288946379629.0,1157484161606.0,33465404321.0,272641327196.0,18347167201440.0
Mua sắm mới,Nguyên giá > Mua sắm mới,Mua sắm mới,-,129.995.877.023,4.373.074.595,4.607.111.096,-,138.976.062.714,,129995877023.0,4373074595.0,4607111096.0,,138976062714.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,628.511.236.268,133.170.192.590,-,-,300.549.000,761.981.977.858,628511236268.0,133170192590.0,,,300549000.0,761981977858.0
Mua lại tài sản thuê tài chính,Nguyên giá > Mua lại tài sản thuê tài chính,Mua lại tài sản thuê tài chính,-,6.937.180.000,-,-,-,6.937.180.000,,6937180000.0,,,,6937180000.0
Giảm tài sản do bàn giao cho đơn vị khác khi hết hạn Hợp đồng BOT,Nguyên giá > Giảm tài sản do bàn giao cho đơn vị khác khi hết hạn Hợp đồng BOT,Giảm tài sản do bàn giao cho đơn vị khác khi hết hạn Hợp đồng BOT,(666.722.580.069),(405.100.000),-,(281.421.019),-,(667.409.101.088),-666722580069.0,-405100000.0,,-281421019.0,,-667409101088.0
"Giảm do thiên tai, kiểm kê","Nguyên giá > Giảm do thiên tai, kiểm kê","Giảm do thiên tai, kiểm kê",-,(5.156.344.989),-,(123.078.182),-,(5.279.423.171),,-5156344989.0,,-123078182.0,,-5279423171.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(196.962.299.596),(36.892.902.287),(166.871.860),-,(234.022.073.743),,-196962299596.0,-36892902287.0,-166871860.0,,-234022073743.0
Giảm do hợp nhất,Nguyên giá > Giảm do hợp nhất,Giảm do hợp nhất,(231.707.554.939),(86.624.533.184),(32.139.227.770),(2.844.528.477),-,(353.315.844.370),-231707554939.0,-86624533184.0,-32139227770.0,-2844528477.0,,-353315844370.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,944.327.314,(944.327.314),-,-,-,,944327314.0,-944327314.0,,,
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,9.324.711.029.948,7.270.845.678.787,1.091.880.778.830,34.656.615.879,272.941.876.196,17.995.035.979.640,9324711029948.0,7270845678787.0,1091880778830.0,34656615879.0,272941876196.0,17995035979640.0
Đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,145.653.999.835,1.607.603.920.331,342.365.598.074,11.467.970.932,2.232.157.919,2.109.323.647.091,145653999835.0,1607603920331.0,342365598074.0,11467970932.0,2232157919.0,2109323647091.0
"Chờ bàn giao, thanh lý","Nguyên giá > Chờ bàn giao, thanh lý","Chờ bàn giao, thanh lý",-,77.230.488.155,15.141.201.571,164.818.182,489.363.636,93.025.871.544,,77230488155.0,15141201571.0,164818182.0,489363636.0,93025871544.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,3.316.434.073.931,4.610.822.468.080,896.217.196.895,26.882.646.672,64.977.561.364,8.915.333.946.942,3316434073931.0,4610822468080.0,896217196895.0,26882646672.0,64977561364.0,8915333946942.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,307.536.440.449,284.086.463.777,51.475.902.001,3.242.270.381,11.816.831.955,658.157.908.563,307536440449.0,284086463777.0,51475902001.0,3242270381.0,11816831955.0,658157908563.0
Khấu hao tài sản cố định hình thành từ quỹ khen thưởng,Giá trị hao mòn > Khấu hao tài sản cố định hình thành từ quỹ khen thưởng,Khấu hao tài sản cố định hình thành từ quỹ khen thưởng,68.544.647,-,-,-,-,68.544.647,68544647.0,,,,,68544647.0
Hao mòn tài sản thuê tài chính mua lại,Giá trị hao mòn > Hao mòn tài sản thuê tài chính mua lại,Hao mòn tài sản thuê tài chính mua lại,-,6.715.669.873,-,-,-,6.715.669.873,,6715669873.0,,,,6715669873.0
