row_label_raw,row_label_full,"Giá trị thiết bị, vật tư, phụ tùng thay thế",Số cuối năm > 21.003.637.490,Số đầu năm > 22.189.109.078,numeric__Số cuối năm > 21.003.637.490,numeric__Số đầu năm > 22.189.109.078
Trừ dự phòng,Trừ dự phòng,Trừ dự phòng,-,-,,
Giá trị thuần,Trừ dự phòng > Giá trị thuần,Giá trị thuần,21.003.637.490,22.189.109.078,21003637490.0,22189109078.0
