row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Số cuối năm
Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,4.495.371.120.000,-,-,4.495.371.120.000,4495371120000.0,,,4495371120000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,121.567.440.382,-,549.587.944,121.017.852.438,121567440382.0,,549587944.0,121017852438.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,19.346.479.965,18.642.211.852,-,37.988.691.817,19346479965.0,18642211852.0,,37988691817.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,(1.605.686.775.287),-,2.580.612.086,(1.608.267.387.373),-1605686775287.0,,2580612086.0,-1608267387373.0
Chênh lệch tỷ giá hồi đoái,Chênh lệch tỷ giá hồi đoái,Chênh lệch tỷ giá hồi đoái,233.542.101.533,-,43.526.716.167,190.015.385.366,233542101533.0,,43526716167.0,190015385366.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,766.899.475.459,-,4.670.934.643,762.228.540.816,766899475459.0,,4670934643.0,762228540816.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,6.798.115.744,-,-,6.798.115.744,6798115744.0,,,6798115744.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,1.040.671.493.393,-,403.758.638.553,636.912.854.840,1040671493393.0,,403758638553.0,636912854840.0
Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,9.749.706,-,-,9.749.706,9749706.0,,,9749706.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,2.503.525.364.259,24.937.307.822,-,2.528.462.672.081,2503525364259.0,24937307822.0,,2528462672081.0
Cộng,Cộng,Cộng,7.582.044.565.154,43.579.519.674,455.086.489.393,7.170.537.595.435,7582044565154.0,43579519674.0,455086489393.0,7170537595435.0
