row_label_raw,row_label_full,Số đầu năm > Phân bổ trong năm,153.221.519.095 > (19.680.786.062),numeric__153.221.519.095 > (19.680.786.062)
Giảm do hợp nhất,Giảm do hợp nhất,Giảm do hợp nhất,(1.648.940.160),-1648940160.0
Số cuối năm,Số cuối năm,Số cuối năm,131.891.792.873,131891792873.0
