row_label_raw,row_label_full,Ngân hàng TMCP Đại chúng Việt Nam > Ngân hàng TMCP Phương Đông > Ngân hàng TMCP Sài Gòn Hà Nội > Ngân hàng TMCP Tiên Phong > Ngân hàng TMCP Việt Á,Số tiền > 350.000.000.000 > 310.000.000.000 > 200.000.000.000 > 100.000.000.000 > 300.000.000.000 > 600.000.000.000 > 300.000.000.000 > 200.000.000.000 > 250.000.000.000 > 100.000.000.000 > 200.000.000.000 > 440.000.000.000 > 200.000.000.000 > 120.000.000.000 > 300.000.000.000 > 150.000.000.000 > 200.000.000.000 > 150.000.000.000,Ngày đáo hạn > 17/03/2016 > 24/03/2016 > 8/03/2016 > 29/02/2016 > 1/03/2016 > 18/01/2016 > 21/01/2016 > 19/01/2016 > 22/01/2016 > 19/01/2016 > 18/01/2016 > 7/01/2016 > 12/01/2016 > 15/01/2016 > 8/01/2016 > 15/01/2016 > 25/01/2016 > 20/01/2016 > 25/02/2016 > 12/01/2016 > 29/01/2016 > 5/01/2016 > 6/01/2015,numeric__Số tiền > 350.000.000.000 > 310.000.000.000 > 200.000.000.000 > 100.000.000.000 > 300.000.000.000 > 600.000.000.000 > 300.000.000.000 > 200.000.000.000 > 250.000.000.000 > 100.000.000.000 > 200.000.000.000 > 440.000.000.000 > 200.000.000.000 > 120.000.000.000 > 300.000.000.000 > 150.000.000.000 > 200.000.000.000 > 150.000.000.000,numeric__Ngày đáo hạn > 17/03/2016 > 24/03/2016 > 8/03/2016 > 29/02/2016 > 1/03/2016 > 18/01/2016 > 21/01/2016 > 19/01/2016 > 22/01/2016 > 19/01/2016 > 18/01/2016 > 7/01/2016 > 12/01/2016 > 15/01/2016 > 8/01/2016 > 15/01/2016 > 25/01/2016 > 20/01/2016 > 25/02/2016 > 12/01/2016 > 29/01/2016 > 5/01/2016 > 6/01/2015
Tổng cộng,Tổng cộng,Tổng cộng,5.670.000.000.000,,5670000000000.0,
3.2. Cho vay các tổ chức tín dụng khác,3.2. Cho vay các tổ chức tín dụng khác,3.2. Cho vay các tổ chức tín dụng khác,31/12/2015,01/01/2015,,
Cho vay ngắn hạn,3.2. Cho vay các tổ chức tín dụng khác > Cho vay ngắn hạn,Cho vay ngắn hạn,385.000.000.000,2.500.000.000.000,385000000000.0,2500000000000.0
Bằng VND (*),3.2. Cho vay các tổ chức tín dụng khác > Bằng VND (*),Bằng VND (*),385.000.000.000,2.500.000.000.000,385000000000.0,2500000000000.0
Dự phòng rủi ro cho vay các TCTD khác,3.2. Cho vay các tổ chức tín dụng khác > Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,-,(4.688.968.750),,-4688968750.0
Cộng,3.2. Cho vay các tổ chức tín dụng khác > Cộng,Cộng,385.000.000.000,2.495.311.031.250,385000000000.0,2495311031250.0
Tổng tiền gửi và cho vay các TCTD khác,3.2. Cho vay các tổ chức tín dụng khác > Tổng tiền gửi và cho vay các TCTD khác,Tổng tiền gửi và cho vay các TCTD khác,6.421.902.450.952,6.656.016.655.436,6421902450952.0,6656016655436.0
(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau:,Số tiền,Ngày đáo hạn,,
Ngân hàng TMCP An Bình,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,70.000.000.000,13/01/2016,70000000000.0,
Ngân hàng TMCP An Bình,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,75.000.000.000,30/06/2016,75000000000.0,
Ngân hàng TMCP An Bình,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,40.000.000.000,7/06/2016,40000000000.0,
Ngân hàng TMCP Phương Đông,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,200.000.000.000,22/02/2016,200000000000.0,
Cộng,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Cộng,Cộng,385.000.000.000,,385000000000.0,
