row_label_raw,row_label_full,col_0,Tổng số,Vốn CP thường,Vốn CP ưu đãi,Tổng số_1,Vốn CP thường_1,Vốn CP ưu đãi_1,numeric__Tổng số,numeric__Vốn CP thường,numeric__Vốn CP ưu đãi,numeric__Tổng số_1,numeric__Vốn CP thường_1,numeric__Vốn CP ưu đãi_1
- Vốn đầu tư của Nhà nước,- Vốn đầu tư của Nhà nước,- Vốn đầu tư của Nhà nước,-,,-,-,-,-,,,,,,
- Vốn góp các thành viên khác,- Vốn đầu tư của Nhà nước > - Vốn góp các thành viên khác,- Vốn góp các thành viên khác,3.010.215.520.000,3.010.215.520.000,-,3.010.215.520.000,3.010.215.520.000,-,3010215520000.0,3010215520000.0,,3010215520000.0,3010215520000.0,
- Thăng dư vốn cổ phần,- Thăng dư vốn cổ phần,- Thăng dư vốn cổ phần,-,,-,-,-,-,,,,,,
- Cổ phiếu quỹ,- Thăng dư vốn cổ phần > - Cổ phiếu quỹ,- Cổ phiếu quỹ,(29.644.379.970),(29.644.379.970),-,(29.644.379.970),(29.644.379.970),-,-29644379970.0,-29644379970.0,,-29644379970.0,-29644379970.0,
Tổng cộng,- Thăng dư vốn cổ phần > Tổng cộng,Tổng cộng,2.980.571.140.030,2.980.571.140.030,-,2.980.571.140.030,2.980.571.140.030,-,2980571140030.0,2980571140030.0,,2980571140030.0,2980571140030.0,
