row_label_raw,row_label_full,Hội đồng quản trị > Ông VŨ HỒNG NAM > Bà TRẦN HÀI ANH > Bà NGUYỄN THỊ MAI > Bà ĐẢNG THỊ XUÂN HỒNG > Ông LÊ XUÂN NGHĨA > Ông NGUYỄN TUẤN HÀI,Chủ tịch > Phó Chủ tịch thường trực > Thành viên thường trực > Thành viên độc lập > Thành viên,Ngày bổ nhiệm > 24/04/2015,Ngày miễn nhiệm,numeric__Chủ tịch > Phó Chủ tịch thường trực > Thành viên thường trực > Thành viên độc lập > Thành viên,numeric__Ngày bổ nhiệm > 24/04/2015,numeric__Ngày miễn nhiệm
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Trường ban,24/04/2015,,,,
Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Phó ban,24/04/2015,,,,
Ông LÊ TRỌNG HIỂU,Ông LÊ TRỌNG HIỂU,Ông LÊ TRỌNG HIỂU,Thành viên,24/04/2015,,,,
Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,,,
Bà TRẦN HÀI ANH,Bà TRẦN HÀI ANH,Bà TRẦN HÀI ANH,Tổng Giám đốc,21/02/2014,11/12/2015,,,
Ông ĐÀO TRỌNG KHANH,Ông ĐÀO TRỌNG KHANH,Ông ĐÀO TRỌNG KHANH,Tổng Giám đốc,11/12/2015,,,,
Ông ĐẢNG QUANG MINH,Ông ĐẢNG QUANG MINH,Ông ĐẢNG QUANG MINH,Phó Tổng giám đốc,21/02/2014,26/10/2015,,,
Ông NGUYỄN GIANG NAM,Ông NGUYỄN GIANG NAM,Ông NGUYỄN GIANG NAM,Phó Tổng giám đốc,20/06/2006,,,,
Ông NGUYỄN CAO HỮU TRÍ,Ông NGUYỄN CAO HỮU TRÍ,Ông NGUYỄN CAO HỮU TRÍ,Phó Tổng giám đốc,6/05/2011,14/02/2015,,,
Ông VŨ VĂN CUỒNG,Ông VŨ VĂN CUỒNG,Ông VŨ VĂN CUỒNG,Phó Tổng giám đốc,16/09/2013,14/02/2015,,,
Ông VŨ MẠNH TIẾN,Ông VŨ MẠNH TIẾN,Ông VŨ MẠNH TIẾN,Phó Tổng giám đốc,11/11/2013,,,,
Ông BÙI QUỐC KHÁNH,Ông BÙI QUỐC KHÁNH,Ông BÙI QUỐC KHÁNH,Phó Tổng giám đốc,18/12/2013,01/01/2015,,,
Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Phó Tổng giám đốc,6/02/2013,,,,
Ông TẠ NGỌC ĐA,Ông TẠ NGỌC ĐA,Ông TẠ NGỌC ĐA,Phó Tổng giám đốc,10/10/2015,,,,
Ông NGUYỄN CHÍ TRUNG,Ông NGUYỄN CHÍ TRUNG,Ông NGUYỄN CHÍ TRUNG,Phó Tổng giám đốc,23/05/2013,10/10/2015,,,
Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Quyền kế toán trưởng,11/12/2014,,,,
