row_label_raw,row_label_full,10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác,31/12/2015,01/01/2015,numeric__31/12/2015,numeric__01/01/2015
- Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,(28.858.861.822),(13.858.861.822),-28858861822.0,-13858861822.0
Cộng,Cộng,Cộng,(28.858.861.822),(13.858.861.822),-28858861822.0,-13858861822.0
11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,,,,
,,,31/12/2015,01/01/2015,,
11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,,,,
a. Tiền gửi không kỳ hạn,11.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,61.246.591.975,2.309.906.401.245,61246591975.0,2309906401245.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,61.246.591.975,2.309.904.398.385,61246591975.0,2309904398385.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,-,2.002.860,,2002860.0
b. Tiền gửi có kỳ hạn,11.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,8.128.451.000.000,2.054.966.000.000,8128451000000.0,2054966000000.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,8.128.451.000.000,2.054.966.000.000,8128451000000.0,2054966000000.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,-,-,,
Cộng,- Bằng ngoại hối > Cộng,Cộng,8.189.697.591.975,4.364.872.401.245,8189697591975.0,4364872401245.0
11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,31/12/2015,01/01/2015,,
- Bằng VND,11.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,1.801.249.500.000,4.333.921.500.000,1801249500000.0,4333921500000.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,-,-,,
Cộng,- Bằng ngoại hối > Cộng,Cộng,1.801.249.500.000,4.333.921.500.000,1801249500000.0,4333921500000.0
Tổng cộng tiền gửi của và vay TCTD khác,- Bằng ngoại hối > Tổng cộng tiền gửi của và vay TCTD khác,Tổng cộng tiền gửi của và vay TCTD khác,9.990.947.091.975,8.698.793.901.245,9990947091975.0,8698793901245.0
