row_label_raw,row_label_full,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác",31/12/2015,01/01/2015,numeric__31/12/2015,numeric__01/01/2015
- Nợ đủ tiêu chuẩn,- Nợ đủ tiêu chuẩn,- Nợ đủ tiêu chuẩn,6.421.902.450.952,6.656.016.655.436,6421902450952.0,6656016655436.0
Cộng,Cộng,Cộng,6.421.902.450.952,6.656.016.655.436,6421902450952.0,6656016655436.0
4. Cho vay khách hàng,4. Cho vay khách hàng,4. Cho vay khách hàng,,,,
,,,31/12/2015,01/01/2015,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","4. Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",20.274.306.838.237,16.523.198.930.629,20274306838237.0,16523198930629.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,4. Cho vay khách hàng > Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,9.283.680.340,571.496.154,9283680340.0,571496154.0
"Cho vay bằng vốn tải trợ, ủy thác đầu tư","4. Cho vay khách hàng > Cho vay bằng vốn tải trợ, ủy thác đầu tư","Cho vay bằng vốn tải trợ, ủy thác đầu tư",147.850.952.454,116.886.118.946,147850952454.0,116886118946.0
Tổng cộng,4. Cho vay khách hàng > Tổng cộng,Tổng cộng,20.431.441.471.031,16.640.656.545.729,20431441471031.0,16640656545729.0
4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,,,,
,,,31/12/2015,01/01/2015,,
Nợ đủ tiêu chuẩn,4.1. Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,19.422.339.410.654,15.931.913.204.477,19422339410654.0,15931913204477.0
Nợ cần chú ý,4.1. Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,569.884.753.948,288.628.530.309,569884753948.0,288628530309.0
Nợ dưới tiêu chuẩn,4.1. Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,156.676.181.973,38.020.655.606,156676181973.0,38020655606.0
Nợ nghi ngờ,4.1. Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,29.277.860.353,51.470.141.221,29277860353.0,51470141221.0
Nợ có khả năng mất vốn,4.1. Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,253.263.264.103,330.624.014.116,253263264103.0,330624014116.0
Tổng cộng,4.1. Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,20.431.441.471.031,16.640.656.545.729,20431441471031.0,16640656545729.0
4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,,,,
,,,31/12/2015,01/01/2015,,
Nợ ngắn hạn,4.2. Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,7.494.876.633.820,6.752.875.847.940,7494876633820.0,6752875847940.0
Nợ trung hạn,4.2. Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,6.984.459.402.907,4.555.265.264.302,6984459402907.0,4555265264302.0
Nợ dài hạn,4.2. Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,5.952.105.434.304,5.332.515.433.487,5952105434304.0,5332515433487.0
Tổng cộng,4.2. Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,20.431.441.471.031,16.640.656.545.729,20431441471031.0,16640656545729.0
