row_label_raw,row_label_full,col_0,Hoạt động huy động và tín dụng,Hoạt động kinh doanh tiền tệ và đầu tư chứng khoán,Hoạt động khác,Tổng cộng toàn ngân hàng,numeric__Hoạt động huy động và tín dụng,numeric__Hoạt động kinh doanh tiền tệ và đầu tư chứng khoán,numeric__Hoạt động khác,numeric__Tổng cộng toàn ngân hàng
Thu nhập,Thu nhập,Thu nhập,2.246.452.723.506,738.228.175.942,50.401.655.338,3.035.082.554.786,2246452723506.0,738228175942.0,50401655338.0,3035082554786.0
Chi phí,Chi phí,Chi phí,2.020.170.789.223,225.990.742.698,52.482.428.155,2.298.643.960.076,2020170789223.0,225990742698.0,52482428155.0,2298643960076.0
Thu nhập thuần,Thu nhập thuần,Thu nhập thuần,226.281.934.283,512.237.433.244,(2.080.772.817),736.438.594.710,226281934283.0,512237433244.0,-2080772817.0,736438594710.0
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,28.222.954.332.058,11.793.693.024.110,-,40.016.647.356.168,28222954332058.0,11793693024110.0,,40016647356168.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,8.214.151.419.632,,,,8214151419632.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,48.230.798.775.800,,,,48230798775800.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,44.923.755.775.880,36.321.868.524,-,44.960.077.644.404,44923755775880.0,36321868524.0,,44960077644404.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,55.493.677.268,,,,55493677268.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,45.015.571.321.672,,,,45015571321672.0
