row_label_raw,row_label_full,Đầu tư vào công ty con,50.000.000.000,50.000.000.000_1,numeric__50.000.000.000,numeric__50.000.000.000_1
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,873.967.000.000,970.855.000.000,873967000000.0,970855000000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(3.917.637.228),(4.672.055.435),-3917637228.0,-4672055435.0
Tổng cộng,Tổng cộng,Tổng cộng,920.049.362.772,1.016.182.944.565,920049362772.0,1016182944565.0
